Time [s],Channel 0,Channel 1
0.000000000,1,0
0.004621260,1,1
0.012852994,1,0
0.021269794,1,1
0.021269798,1,0
0.021269800,1,1
0.029501368,1,0
0.037930214,1,1
0.046161844,1,0
0.054579392,1,1
0.054579394,1,0
0.054579398,1,1
0.062821670,1,0
0.071238486,1,1
0.079470704,1,0
0.087899172,1,1
0.096131522,1,0
0.104549116,1,1
0.112780522,1,0
0.121208756,1,1
0.129440388,1,0
0.137858012,1,1
0.146101248,1,0
0.154518402,1,1
0.162749496,1,0
0.171177784,1,1
0.179409386,1,0
0.187826782,1,1
0.196058558,1,0
0.204486798,1,1
0.212718490,1,0
0.221135180,1,1
0.229377802,1,0
0.237794868,1,1
0.246026020,1,0
0.254454010,1,1
0.262685928,1,0
0.271102706,1,1
0.279333972,1,0
0.287762468,1,1
0.295993434,1,0
0.304410406,1,1
0.312653250,1,0
0.321069518,1,1
0.329300402,1,0
0.337728150,1,1
0.345959452,1,0
0.354376572,1,1
0.362606772,1,0
0.371034368,1,1
0.379264710,1,0
0.387682000,1,1
0.395924616,1,0
0.404341234,1,1
0.412571656,1,0
0.420999896,1,1
0.429230928,1,0
0.437647606,1,1
0.445879038,1,0
0.454307702,1,1
0.462538402,1,0
0.470955966,1,1
0.479199188,1,0
0.487616982,1,1
0.495848382,1,0
0.504276932,1,1
0.512507686,1,0
0.520924510,1,1
0.529155984,1,0
0.537584664,1,1
0.545816030,1,0
0.554233226,1,1
0.562475078,1,0
0.570892178,1,1
0.579123580,1,0
0.587552322,1,1
0.595783314,1,0
0.604200930,1,1
0.612432016,1,0
0.620861036,1,1
0.629092970,1,0
0.637510234,1,1
0.637510238,1,0
0.637510242,1,1
0.645752714,1,0
0.654169650,1,1
0.662400628,1,0
0.670829276,1,1
0.679060588,1,0
0.687478356,1,1
0.695709730,1,0
0.704137978,1,1
0.712369042,1,0
0.720785542,1,1
0.729027644,1,0
0.737444336,1,1
0.745674908,1,0
0.754102796,1,1
0.762332646,1,0
0.770748862,1,1
0.778979614,1,0
0.787407318,1,1
0.795638458,1,0
0.804055336,1,1
0.804055340,1,0
0.804055344,1,1
0.812298216,1,0
0.820715212,1,1
0.828945832,1,0
0.837373480,1,1
0.845604268,1,0
0.854020896,1,1
0.862251580,1,0
0.870680022,1,1
0.878911074,1,0
0.887327004,1,1
0.895568874,1,0
0.903985422,1,1
0.912216634,1,0
0.920644670,1,1
0.928875060,1,0
0.937291042,1,1
0.945521702,1,0
0.953948552,1,1
0.962178758,1,0
0.970595092,1,1
0.978837428,1,0
0.987254544,1,1
0.995485682,1,0
1.003914056,1,1
1.003914062,1,0
1.003914064,1,1
