Time [s],Channel 0,Channel 1
0.000000000,1,1
0.003212528,1,0
0.011633018,1,1
0.019879312,1,0
0.028299592,1,1
0.036534116,1,0
0.044966222,1,1
0.053200606,1,0
0.061622326,1,1
0.069857704,1,0
0.078290364,1,1
0.086525400,1,0
0.094945898,1,1
0.103191988,1,0
0.111612694,1,1
0.119847564,1,0
0.128280350,1,1
0.136514654,1,0
0.144935394,1,1
0.153169970,1,0
0.161602298,1,1
0.169836960,1,0
0.178257024,1,1
0.186502984,1,0
0.194923024,1,1
0.203157376,1,0
0.211589734,1,1
0.219825142,1,0
0.228245986,1,1
0.236480790,1,0
0.244912404,1,1
0.253146832,1,0
0.261567924,1,1
0.269814112,1,0
0.278235128,1,1
0.286469664,1,0
0.294901882,1,1
0.303136398,1,0
0.311557530,1,1
0.319792840,1,0
0.328225948,1,1
0.336461382,1,0
0.344882858,1,1
0.353129420,1,0
0.361550266,1,1
0.369785340,1,0
0.378217626,1,1
0.386452562,1,0
0.394873840,1,1
0.403109320,1,0
0.411542156,1,1
0.419777560,1,0
0.428199138,1,1
0.436446074,1,0
0.444867632,1,1
0.453103796,1,0
0.461537860,1,1
0.469773950,1,0
0.478196084,1,1
0.486431926,1,0
0.494863306,1,1
0.503098174,1,0
0.511518702,1,1
0.519764012,1,0
0.528183618,1,1
0.536417144,1,0
0.544847124,1,1
0.553080838,1,0
0.561500160,1,1
0.569734474,1,0
0.578164810,1,1
0.586398098,1,0
0.594817088,1,1
0.603061982,1,0
0.611481960,1,1
0.619715650,1,0
0.628146284,1,1
0.636380094,1,0
0.644799408,1,1
0.653033826,1,0
0.661465218,1,1
0.669699484,1,0
0.678119204,1,1
0.686364742,1,0
0.694784966,1,1
0.703019634,1,0
0.711451756,1,1
0.719686258,1,0
0.728107036,1,1
0.736340914,1,0
0.744772852,1,1
0.753007042,1,0
0.761427608,1,1
0.769673170,1,0
0.778092544,1,1
0.786326020,1,0
0.794757128,1,1
0.802991564,1,0
0.811412348,1,1
0.819647526,1,0
0.828079580,1,1
0.836314706,1,0
0.844735290,1,1
0.852981506,1,0
0.861401962,1,1
0.869636460,1,0
0.878068080,1,1
0.886301772,1,0
0.894722082,1,1
0.902956180,1,0
0.911387784,1,1
0.919621842,1,0
0.928041480,1,1
0.936286670,1,0
0.953141730,1,1
0.961386862,1,0
0.969806978,1,1
0.978041234,1,0
0.986473082,1,1
0.994707886,1,0
1.003127974,1,1
1.011361700,1,0
1.019792904,1,1
1.028026860,1,0
1.036446000,1,1
