Time [s],Channel 0,Channel 1
0.000000000,1,0
0.006938850,1,1
0.015173576,1,0
0.023595042,1,1
0.031829536,1,0
0.040262138,1,1
0.048497198,1,0
0.056918488,1,1
0.065164076,1,0
0.073584282,1,1
0.081818718,1,0
0.090250808,1,1
0.098485556,1,0
0.106906688,1,1
0.115141012,1,0
0.123573650,1,1
0.131808250,1,0
0.140229298,1,1
0.148474672,1,0
0.156895264,1,1
0.165131086,1,0
0.173563996,1,1
0.181799146,1,0
0.190220228,1,1
0.198455298,1,0
0.206887250,1,1
0.215121810,1,0
0.223543268,1,1
0.231790030,1,0
0.240211614,1,1
0.248446798,1,0
0.256879970,1,1
0.265115660,1,0
0.273537140,1,1
0.281772096,1,0
0.290204962,1,1
0.298440588,1,0
0.306862576,1,1
0.315110320,1,0
0.323533352,1,1
0.331769540,1,0
0.340202282,1,1
0.348438478,1,0
0.356860160,1,1
0.365096130,1,0
0.373529176,1,1
0.381765598,1,0
0.390187540,1,1
0.398435072,1,0
0.406857302,1,1
0.415093162,1,0
0.423526974,1,1
0.431763408,1,0
0.440185632,1,1
0.448421182,1,0
0.456854014,1,1
0.465090240,1,0
0.473511972,1,1
0.481758830,1,0
0.490180050,1,1
0.498415920,1,0
0.506848650,1,1
0.515084574,1,0
0.523505710,1,1
0.531740940,1,0
0.540173188,1,1
0.548408064,1,0
0.556829044,1,1
0.565075064,1,0
0.573496110,1,1
0.581731642,1,0
0.590163508,1,1
0.598398390,1,0
0.606819310,1,1
0.615054738,1,0
0.623487240,1,1
0.631722814,1,0
0.640144190,1,1
0.648390690,1,0
0.656812434,1,1
0.665047550,1,0
0.673479698,1,1
0.681714390,1,0
0.690135144,1,1
0.698371010,1,0
0.706803798,1,1
0.715039266,1,0
0.723460948,1,1
0.731707652,1,0
0.740128392,1,1
0.748364644,1,0
0.756797576,1,1
0.765033124,1,0
0.773454638,1,1
0.781690094,1,0
0.790122388,1,1
0.798357686,1,0
0.806779598,1,1
0.815027456,1,0
0.823449798,1,1
0.831685174,1,0
0.840118092,1,1
0.848353424,1,0
0.856774028,1,1
0.865009532,1,0
0.873442102,1,1
0.881677258,1,0
0.890098770,1,1
0.898345404,1,0
0.906766478,1,1
0.915001974,1,0
0.923434790,1,1
0.931669670,1,0
0.940090968,1,1
0.948327120,1,0
0.956760606,1,1
0.964996500,1,0
0.981866704,1,1
0.990102542,1,0
0.998524470,1,1
1.006771162,1,0
1.015192992,1,1
1.023428318,1,0
1.031861778,1,1
1.040097572,1,0
1.048518984,1,1
1.056755328,1,0
1.065189172,1,1
1.073425900,1,0
1.081847678,1,1
1.090094868,1,0
1.098515690,1,1
1.106751382,1,0
1.115184192,1,1
1.123419848,1,0
1.131841716,1,1
1.140077882,1,0
1.148511124,1,1
