Time [s],Channel 0,Channel 1
0.000000000,1,1
0.001588040,1,0
0.010019612,1,1
0.018254212,1,0
0.026675584,1,1
0.034922704,1,0
0.043344492,1,1
0.051580042,1,0
0.060012748,1,1
0.068247972,1,0
0.076667960,1,1
0.084902788,1,0
0.093335674,1,1
0.101571840,1,0
0.109994240,1,1
0.118241210,1,0
0.126662544,1,1
0.134897560,1,0
0.143329854,1,1
0.151565680,1,0
0.159987272,1,1
0.168222240,1,0
0.176655076,1,1
0.184891164,1,0
0.193312450,1,1
0.201559902,1,0
0.209981468,1,1
0.218216514,1,0
0.226649092,1,1
0.234884868,1,0
0.243306190,1,1
0.251541236,1,0
0.259973860,1,1
0.268208522,1,0
0.276629424,1,1
0.284876564,1,0
0.293298512,1,1
0.301534790,1,0
0.309968176,1,1
0.318203520,1,0
0.326624856,1,1
0.334860750,1,0
0.343293844,1,1
0.351529292,1,0
0.359950638,1,1
0.368197156,1,0
0.376618832,1,1
0.384853770,1,0
0.393286738,1,1
0.401523140,1,0
0.409945090,1,1
0.418180834,1,0
0.426614390,1,1
0.434850222,1,0
0.443271400,1,1
0.451518054,1,0
0.459939854,1,1
0.468175972,1,0
0.476608626,1,1
0.484843874,1,0
0.493265710,1,1
0.501501784,1,0
0.509934994,1,1
0.518171082,1,0
0.526592618,1,1
0.534838776,1,0
0.543259672,1,1
0.551494982,1,0
0.559927260,1,1
0.568162466,1,0
0.576583656,1,1
0.584818604,1,0
0.593251452,1,1
0.601486826,1,0
0.609906776,1,1
0.618153026,1,0
0.626574108,1,1
0.634808760,1,0
0.643240688,1,1
0.651475604,1,0
0.659895610,1,1
0.668130492,1,0
0.676562644,1,1
0.684797394,1,0
0.693217792,1,1
0.701464170,1,0
0.709885052,1,1
0.718120666,1,0
0.726553768,1,1
0.734788888,1,0
0.743209772,1,1
0.751444500,1,0
0.759876792,1,1
0.768112342,1,0
0.776533960,1,1
0.784780654,1,0
0.793201482,1,1
0.801436822,1,0
0.809868686,1,1
0.818104216,1,0
0.826525536,1,1
0.834760590,1,0
0.843193362,1,1
0.851428692,1,0
0.859850204,1,1
0.868097138,1,0
0.876518396,1,1
0.884754120,1,0
0.893186208,1,1
0.901420940,1,0
0.909841918,1,1
0.918077156,1,0
0.926509586,1,1
0.934745242,1,0
0.943166598,1,1
0.951413958,1,0
0.959834656,1,1
0.968070332,1,0
0.976503230,1,1
0.984739306,1,0
0.993160748,1,1
1.001396292,1,0
1.009829138,1,1
1.018064470,1,0
1.026485932,1,1
1.034733108,1,0
1.043155264,1,1
1.051391390,1,0
1.059825710,1,1
1.068061790,1,0
1.076484474,1,1
1.084720848,1,0
1.093154362,1,1
1.101390254,1,0
1.109812860,1,1
1.118059004,1,0
1.126480230,1,1
1.134715688,1,0
1.143149056,1,1
1.151383946,1,0
1.159805326,1,1
1.168040298,1,0
1.176473010,1,1
1.184708424,1,0
1.193129098,1,1
1.201375308,1,0
1.209796560,1,1
1.218030640,1,0
1.226461652,1,1
1.234694992,1,0
1.243114260,1,1
1.251347700,1,0
1.259778318,1,1
1.268012742,1,0
1.276433190,1,1
1.284678718,1,0
1.293100106,1,1
1.301335738,1,0
1.309767842,1,1
1.318002374,1,0
1.326422878,1,1
1.334657154,1,0
1.343088444,1,1
1.351322322,1,0
1.359743204,1,1
1.367989152,1,0
1.376409504,1,1
1.384643676,1,0
1.393075550,1,1
1.401309968,1,0
1.409730330,1,1
1.417964802,1,0
1.426395734,1,1
1.434630034,1,0
1.443050088,1,1
1.451295552,1,0
1.459716100,1,1
1.467950610,1,0
1.476382264,1,1
1.484616820,1,0
1.493036772,1,1
1.501271188,1,0
1.509702588,1,1
1.517937198,1,0
1.526357478,1,1
1.534603454,1,0
1.543023518,1,1
1.551257516,1,0
1.559688916,1,1
1.567923120,1,0
1.576343030,1,1
1.576343032,1,0
1.576343036,1,1
1.584577338,1,0
1.593008254,1,1
1.601242008,1,0
1.609662072,1,1
1.617907178,1,0
1.626327102,1,1
1.634561166,1,0
1.642991990,1,1
1.651226408,1,0
1.659646594,1,1
1.667881190,1,0
1.676312400,1,1
1.684545928,1,0
1.692965392,1,1
1.701210344,1,0
1.709630670,1,1
1.717865134,1,0
1.726297052,1,1
1.734531262,1,0
1.742950722,1,1
1.751184726,1,0
1.759616026,1,1
1.767850144,1,0
1.776270702,1,1
1.784515908,1,0
1.792935382,1,1
1.801169490,1,0
1.809601400,1,1
1.817836208,1,0
1.826256338,1,1
1.834490446,1,0
1.842922416,1,1
1.851157022,1,0
1.859576896,1,1
1.867822516,1,0
1.876243166,1,1
1.884476502,1,0
1.892907906,1,1
1.901141468,1,0
1.909561494,1,1
1.917795514,1,0
1.934663024,1,1
1.942897448,1,0
1.951328718,1,1
1.959562712,1,0
1.967982680,1,1
1.976228780,1,0
1.984647806,1,1
1.992881932,1,0
2.001313638,1,1
2.009547972,1,0
2.017968760,1,1
2.026203252,1,0
2.034634276,1,1
2.042868412,1,0
2.051288342,1,1
2.059533202,1,0
2.067953112,1,1
2.076187094,1,0
2.084617596,1,1
2.092851428,1,0
2.101271230,1,1
2.109504586,1,0
2.117935048,1,1
2.126169316,1,0
2.134588988,1,1
2.142834236,1,0
2.151253936,1,1
2.159488468,1,0
2.167920788,1,1
2.176154896,1,0
2.184574512,1,1
2.192808178,1,0
2.201239740,1,1
2.209474438,1,0
2.217895212,1,1
2.226141264,1,0
2.234561090,1,1
2.242795858,1,0
2.251228374,1,1
2.259463706,1,0
2.267884554,1,1
2.276118618,1,0
2.284550794,1,1
2.292785640,1,0
2.301206762,1,1
2.309453170,1,0
2.317874246,1,1
2.326108622,1,0
2.334541002,1,1
2.342774830,1,0
2.351194812,1,1
2.359429002,1,0
2.367861052,1,1
2.376094406,1,0
2.384514784,1,1
2.392760472,1,0
2.401181046,1,1
2.409416058,1,0
2.417847606,1,1
2.426081504,1,0
2.434502052,1,1
2.442736542,1,0
2.451168254,1,1
2.459402248,1,0
2.467823476,1,1
2.476069250,1,0
2.484489652,1,1
2.492724706,1,0
2.501156920,1,1
2.509391510,1,0
2.517812274,1,1
2.526046140,1,0
2.534476802,1,1
2.542711062,1,0
2.551131062,1,1
2.559377476,1,0
2.567797996,1,1
2.576032090,1,0
2.584463632,1,1
2.592697544,1,0
2.601117934,1,1
2.609351864,1,0
2.617783900,1,1
2.626018830,1,0
2.634439854,1,1
2.642686086,1,0
2.651106634,1,1
2.659341954,1,0
2.667774758,1,1
2.676009502,1,0
2.684430752,1,1
2.692664844,1,0
2.701096800,1,1
2.709330852,1,0
2.717750536,1,1
2.725996068,1,0
2.734416208,1,1
2.742649874,1,0
2.751081856,1,1
2.759316468,1,0
2.767736128,1,1
2.775970590,1,0
2.784402516,1,1
2.792637974,1,0
2.801058838,1,1
2.809304308,1,0
2.817724334,1,1
2.825959052,1,0
2.834391086,1,1
2.842625344,1,0
2.851046366,1,1
2.859281374,1,0
2.867712994,1,1
2.875947264,1,0
2.884368512,1,1
2.892615242,1,0
2.901036020,1,1
2.909271294,1,0
2.917703494,1,1
2.925938370,1,0
2.934359012,1,1
2.942593682,1,0
2.951025730,1,1
2.959260912,1,0
2.967681318,1,1
2.975928162,1,0
2.984349482,1,1
2.992584834,1,0
3.001016752,1,1
3.009252400,1,0
3.017673548,1,1
3.025909060,1,0
3.034341742,1,1
3.042577064,1,0
3.050998334,1,1
3.059245174,1,0
3.067666392,1,1
3.075902044,1,0
3.084334510,1,1
3.092569380,1,0
3.100990144,1,1
3.109224990,1,0
3.117657278,1,1
3.125892846,1,0
3.134313940,1,1
3.142561016,1,0
3.150983066,1,1
3.159218554,1,0
3.167651538,1,1
3.175886634,1,0
3.184307462,1,1
3.192543330,1,0
3.200976720,1,1
3.209211918,1,0
3.217633866,1,1
3.225881862,1,0
3.234303466,1,1
3.242538778,1,0
3.250971872,1,1
3.259207002,1,0
3.267628906,1,1
3.275865320,1,0
3.284298998,1,1
3.292534918,1,0
3.300957014,1,1
3.309203840,1,0
3.317626002,1,1
3.325861490,1,0
3.334294352,1,1
3.342530376,1,0
3.350952732,1,1
3.359188494,1,0
3.367622044,1,1
3.375858102,1,0
3.384279854,1,1
3.392527390,1,0
3.400950176,1,1
3.409186266,1,0
3.417619844,1,1
3.425855510,1,0
3.434278192,1,1
3.442513784,1,0
3.450946400,1,1
3.459181396,1,0
3.467603314,1,1
3.475849894,1,0
3.484271272,1,1
3.492506952,1,0
3.500939912,1,1
3.509174886,1,0
3.517596494,1,1
3.525832174,1,0
3.534265324,1,1
3.542501328,1,0
3.550923086,1,1
3.559169630,1,0
3.567591252,1,1
3.575827542,1,0
3.584260436,1,1
3.592495512,1,0
3.600916858,1,1
3.609152332,1,0
3.617584764,1,1
3.625820146,1,0
3.634241444,1,1
3.642487508,1,0
3.650907496,1,1
3.659142098,1,0
3.667574062,1,1
3.675808430,1,0
3.684228908,1,1
3.692463970,1,0
3.700895442,1,1
3.709129726,1,0
3.717549946,1,1
3.725795702,1,0
3.734217150,1,1
3.742452512,1,0
3.750885368,1,1
3.759120972,1,0
3.767542680,1,1
3.775778090,1,0
3.784210260,1,1
3.792445284,1,0
3.800865388,1,1
3.809110676,1,0
3.817530934,1,1
3.825765734,1,0
3.834197094,1,1
3.842431770,1,0
3.850851842,1,1
3.859085976,1,0
3.867517816,1,1
3.875752600,1,0
3.884172428,1,1
3.892417978,1,0
3.900838524,1,1
3.909073420,1,0
3.917505978,1,1
3.925740980,1,0
3.934162062,1,1
3.942395996,1,0
3.950827388,1,1
3.959061806,1,0
3.967482666,1,1
3.975728164,1,0
3.984148158,1,1
3.992382596,1,0
4.000814254,1,1
4.009048708,1,0
4.025915724,1,1
4.034151220,1,0
4.042571710,1,1
4.050806272,1,0
4.059238404,1,1
4.067473900,1,0
4.075895310,1,1
4.084141070,1,0
4.092562622,1,1
4.100798258,1,0
4.109231422,1,1
4.117467588,1,0
4.125889262,1,1
4.134124984,1,0
4.142558020,1,1
4.150794234,1,0
4.159215534,1,1
4.167462570,1,0
4.175884304,1,1
4.184120184,1,0
4.192553726,1,1
4.200790770,1,0
4.209213544,1,1
