Time [s],Channel 0,Channel 1
0.000000000,1,1
0.006131588,1,0
0.014550404,1,1
0.022783260,1,0
0.031213656,1,1
0.039446698,1,0
0.047866074,1,1
0.056099270,1,0
0.064529580,1,1
0.072762396,1,0
0.081182670,1,1
0.089427706,1,0
0.097847894,1,1
0.106081930,1,0
0.114512836,1,1
0.122745904,1,0
0.131165540,1,1
0.139399082,1,0
0.147829770,1,1
0.156064560,1,0
0.164484752,1,1
0.172730108,1,0
0.181149808,1,1
0.189383616,1,0
0.197814342,1,1
0.206047460,1,0
0.214466392,1,1
0.222700048,1,0
0.231130204,1,1
0.239363406,1,0
0.247782324,1,1
0.256026010,1,0
0.264443782,1,1
0.272676484,1,0
0.281106380,1,1
0.289339014,1,0
0.297757602,1,1
0.305989860,1,0
0.314419374,1,1
0.322652116,1,0
0.331070852,1,1
0.339314410,1,0
0.347732010,1,1
0.355964498,1,0
0.364394350,1,1
0.372627070,1,0
0.381046242,1,1
0.389279006,1,0
0.397709288,1,1
0.405943518,1,0
0.414362960,1,1
0.422607990,1,0
0.431027394,1,1
0.439260912,1,0
0.447691464,1,1
0.455924836,1,0
0.464343620,1,1
0.472576988,1,0
0.481007298,1,1
0.489240784,1,0
0.497660730,1,1
0.505906494,1,0
0.514326956,1,1
0.522561694,1,0
0.530993168,1,1
0.539227316,1,0
0.547646590,1,1
0.555879756,1,0
0.564310772,1,1
0.572544324,1,0
0.580963834,1,1
0.589208160,1,0
0.597627622,1,1
0.605860426,1,0
0.614290516,1,1
0.622523638,1,0
0.630942196,1,1
0.639174920,1,0
0.647605224,1,1
0.655838162,1,0
0.664257690,1,1
0.672502420,1,0
0.689356554,1,1
0.697601520,1,0
0.706020494,1,1
0.714253622,1,0
0.722684324,1,1
0.730917378,1,0
0.739336540,1,1
0.747569700,1,0
0.755999676,1,1
0.764233078,1,0
0.772653046,1,1
0.780898112,1,0
0.789317560,1,1
0.797550748,1,0
0.805980548,1,1
0.814214238,1,0
0.822633900,1,1
0.830867484,1,0
0.839297638,1,1
0.847531312,1,0
0.855950270,1,1
0.864193892,1,0
0.872612742,1,1
0.880846936,1,0
0.889278298,1,1
0.897512428,1,0
0.905931380,1,1
0.914164404,1,0
0.922595184,1,1
0.930829444,1,0
0.939249146,1,1
0.947493814,1,0
0.955912586,1,1
0.964146238,1,0
0.972576758,1,1
0.980809648,1,0
0.989228602,1,1
0.997461356,1,0
1.005891454,1,1
1.014125286,1,0
1.022544834,1,1
1.030789788,1,0
1.039209642,1,1
1.047442420,1,0
1.055872772,1,1
1.064106564,1,0
1.072525968,1,1
1.080759692,1,0
1.089190836,1,1
1.097424228,1,0
1.105843842,1,1
1.114089170,1,0
1.122508540,1,1
1.130741862,1,0
1.139172472,1,1
1.147405436,1,0
1.155824818,1,1
1.164058140,1,0
1.172488284,1,1
1.180722286,1,0
1.189141776,1,1
1.197386066,1,0
1.205804300,1,1
1.214036704,1,0
1.222466498,1,1
1.230700180,1,0
1.239119604,1,1
1.247352646,1,0
1.255783616,1,1
1.264016960,1,0
1.272435956,1,1
1.280679874,1,0
1.289098962,1,1
1.297332526,1,0
1.305763140,1,1
1.313996344,1,0
1.322415730,1,1
1.330649512,1,0
1.339080022,1,1
1.347312890,1,0
1.355732282,1,1
1.363976972,1,0
1.372396286,1,1
1.380629136,1,0
1.389060176,1,1
1.397293314,1,0
1.405713016,1,1
1.413946570,1,0
1.422377496,1,1
1.430611568,1,0
1.439030812,1,1
1.447276238,1,0
1.455696212,1,1
1.463930204,1,0
1.472361392,1,1
1.480595240,1,0
1.489014662,1,1
1.497248332,1,0
1.505679628,1,1
1.513913760,1,0
1.522334448,1,1
1.530579622,1,0
1.538998816,1,1
1.547232792,1,0
1.555663810,1,1
1.563897688,1,0
1.572317076,1,1
1.580550694,1,0
1.588981800,1,1
1.597215858,1,0
1.605635074,1,1
1.613879990,1,0
1.622299902,1,1
1.630533100,1,0
1.638963414,1,1
1.647196572,1,0
1.655615908,1,1
1.663848904,1,0
1.672278336,1,1
1.680511214,1,0
1.688928218,1,1
1.697172838,1,0
1.705592058,1,1
1.713826068,1,0
1.722256918,1,1
1.730490938,1,0
1.738910476,1,1
1.747144436,1,0
1.755575076,1,1
1.763808816,1,0
1.772229072,1,1
1.780473824,1,0
1.788893160,1,1
1.797126592,1,0
1.805557964,1,1
1.813791836,1,0
1.822211034,1,1
1.830444340,1,0
1.838875032,1,1
1.847109222,1,0
1.855529528,1,1
1.863774710,1,0
