Time [s],Channel 0,Channel 1
0.000000000,1,1
0.001732354,1,0
0.010154720,1,1
0.018391610,1,0
0.026825376,1,1
0.035061872,1,0
0.043485028,1,1
0.051721862,1,0
0.060155846,1,1
0.068392348,1,0
0.076814572,1,1
0.085062458,1,0
0.093484716,1,1
0.101721674,1,0
0.110155972,1,1
0.118392736,1,0
0.126815504,1,1
0.135052242,1,0
0.143485968,1,1
0.151722660,1,0
0.160146146,1,1
0.168393294,1,0
0.176815020,1,1
0.185051624,1,0
0.193484894,1,1
0.201721824,1,0
0.210145226,1,1
0.218381956,1,0
0.226815466,1,1
0.235052320,1,0
0.243475774,1,1
0.251724282,1,0
0.260147522,1,1
0.268383602,1,0
0.276818276,1,1
0.285054992,1,0
0.293477770,1,1
0.301715010,1,0
0.310148844,1,1
0.318384942,1,0
0.326806672,1,1
0.335053706,1,0
0.343476008,1,1
0.351713090,1,0
0.360146904,1,1
0.368383784,1,0
0.376805952,1,1
0.385043364,1,0
0.393477140,1,1
0.401713798,1,0
0.410136426,1,1
0.418384858,1,0
0.426807418,1,1
0.435045010,1,0
0.443479164,1,1
0.451715974,1,0
0.460138744,1,1
0.468374970,1,0
0.476809894,1,1
0.485047274,1,0
0.493470662,1,1
0.501719246,1,0
0.510142646,1,1
0.518379942,1,0
0.526814548,1,1
0.535051476,1,0
0.543474502,1,1
0.551711702,1,0
0.560146340,1,1
0.568382446,1,0
0.576804628,1,1
0.585052732,1,0
0.593475974,1,1
0.601713568,1,0
0.610147846,1,1
0.618384748,1,0
0.626807630,1,1
0.635044698,1,0
0.643479050,1,1
0.651715962,1,0
0.660138320,1,1
0.668386648,1,0
0.676810598,1,1
0.685048566,1,0
0.693483378,1,1
0.701721048,1,0
0.710144114,1,1
0.718381358,1,0
0.726815652,1,1
0.735052236,1,0
0.743474940,1,1
0.751723466,1,0
0.760146438,1,1
0.768383720,1,0
0.776817724,1,1
0.785054142,1,0
0.793477034,1,1
0.801713346,1,0
0.810146646,1,1
0.818383386,1,0
0.826805998,1,1
0.835054462,1,0
0.843476642,1,1
0.851712910,1,0
0.860146756,1,1
0.868384766,1,0
0.876808604,1,1
0.885045288,1,0
0.893479786,1,1
0.901716988,1,0
0.910140368,1,1
0.918389372,1,0
0.926812598,1,1
0.935049766,1,0
0.943483922,1,1
0.951721158,1,0
0.960143848,1,1
0.968380324,1,0
0.976814010,1,1
0.985050390,1,0
0.993473038,1,1
1.001720912,1,0
1.010144052,1,1
1.018381440,1,0
1.026815678,1,1
1.035052946,1,0
1.043475842,1,1
1.051712388,1,0
1.060147098,1,1
1.068383298,1,0
1.076805710,1,1
1.085053422,1,0
1.093477224,1,1
1.101714304,1,0
1.110148652,1,1
1.118385822,1,0
1.135260160,1,1
1.143496468,1,0
1.151919380,1,1
1.160155680,1,0
1.168589560,1,1
1.176826262,1,0
1.185248870,1,1
1.193497084,1,0
1.201919318,1,1
1.210156184,1,0
1.218590402,1,1
1.226827274,1,0
1.235249452,1,1
1.243485978,1,0
1.251919542,1,1
1.260155588,1,0
1.268577832,1,1
1.276825534,1,0
1.285247360,1,1
1.293483720,1,0
1.301917422,1,1
1.310153602,1,0
1.318576140,1,1
1.326812312,1,0
1.335246130,1,1
1.343482362,1,0
1.351905074,1,1
1.360153144,1,0
1.368575830,1,1
1.376812514,1,0
1.385246316,1,1
1.393483024,1,0
1.401905826,1,1
1.410142580,1,0
1.418576426,1,1
1.426813128,1,0
1.435236564,1,1
1.443485308,1,0
1.451907632,1,1
1.460144654,1,0
1.468579052,1,1
1.476816464,1,0
1.485240130,1,1
1.493477272,1,0
1.501911830,1,1
1.510148990,1,0
1.518572384,1,1
1.526820732,1,0
1.535243306,1,1
1.543480066,1,0
1.551914530,1,1
1.560151512,1,0
1.568574338,1,1
1.576810976,1,0
1.585245364,1,1
1.593482024,1,0
1.601905988,1,1
1.610155050,1,0
1.618578522,1,1
1.626815922,1,0
1.635250958,1,1
1.643488272,1,0
1.651911720,1,1
1.660148900,1,0
1.668583058,1,1
1.676820212,1,0
1.685243536,1,1
1.693492310,1,0
1.701916064,1,1
1.710153908,1,0
1.718588636,1,1
1.726825974,1,0
1.735249232,1,1
1.743485722,1,0
1.751919984,1,1
1.760156776,1,0
1.768579598,1,1
1.776827790,1,0
1.785250228,1,1
1.793487162,1,0
1.801921396,1,1
1.810158720,1,0
1.818582432,1,1
1.826820460,1,0
1.835255874,1,1
1.843493608,1,0
1.851918198,1,1
1.860168082,1,0
1.868592712,1,1
1.876831274,1,0
1.885266780,1,1
1.893505094,1,0
1.901928476,1,1
1.910166842,1,0
1.918603070,1,1
1.926841684,1,0
1.935265542,1,1
1.943514464,1,0
1.951938292,1,1
1.960176418,1,0
1.968611114,1,1
1.976847920,1,0
1.985270348,1,1
1.993507742,1,0
2.001942188,1,1
2.001942192,1,0
2.001942194,1,1
2.010179634,1,0
2.018603168,1,1
2.026851512,1,0
2.035274968,1,1
2.043512472,1,0
2.051946942,1,1
2.060185004,1,0
2.068608674,1,1
2.076846890,1,0
2.085281496,1,1
2.093519132,1,0
2.101943350,1,1
2.110192496,1,0
2.118616180,1,1
2.126853002,1,0
2.135287010,1,1
2.143524484,1,0
2.151947732,1,1
2.160185258,1,0
2.168620128,1,1
2.176857482,1,0
2.185279444,1,1
2.193527690,1,0
2.201951002,1,1
2.210188376,1,0
2.218623390,1,1
2.226861030,1,0
2.235285038,1,1
2.243523000,1,0
2.251957504,1,1
2.260194440,1,0
2.268617360,1,1
2.276865850,1,0
2.285288520,1,1
2.293525096,1,0
2.301959502,1,1
2.310196134,1,0
2.318618794,1,1
2.326855158,1,0
2.335289310,1,1
2.343526400,1,0
2.351949918,1,1
2.360198128,1,0
2.368622170,1,1
2.376859734,1,0
2.385294930,1,1
2.393532654,1,0
2.401956806,1,1
2.410194608,1,0
2.418628792,1,1
2.426864940,1,0
2.435287664,1,1
2.443536010,1,0
2.451959154,1,1
2.460196482,1,0
2.468630402,1,1
2.476867614,1,0
2.485290586,1,1
2.493527888,1,0
2.501962418,1,1
2.510199702,1,0
2.518623070,1,1
2.526870736,1,0
2.535294664,1,1
2.543531760,1,0
2.551965980,1,1
2.560202982,1,0
2.568625716,1,1
2.576862406,1,0
2.585296660,1,1
2.593533820,1,0
2.601957628,1,1
2.610206212,1,0
2.618629786,1,1
2.626867542,1,0
2.635303146,1,1
2.643541170,1,0
2.651965156,1,1
2.660202966,1,0
2.668638290,1,1
2.676875796,1,0
2.685299306,1,1
2.693547648,1,0
2.701970432,1,1
2.710207736,1,0
2.718642160,1,1
2.726878888,1,0
2.735302010,1,1
2.743539066,1,0
2.751973460,1,1
2.760210852,1,0
2.768634514,1,1
2.776884032,1,0
2.785308426,1,1
2.793546172,1,0
2.801981736,1,1
2.810219514,1,0
2.818643722,1,1
2.826881426,1,0
2.835316332,1,1
2.843554536,1,0
2.851978126,1,1
2.860226858,1,0
2.868649738,1,1
2.876887234,1,0
2.885322080,1,1
2.893560382,1,0
2.901984490,1,1
2.910222838,1,0
2.918657132,1,1
2.926893788,1,0
2.935316092,1,1
2.943563690,1,0
2.951986654,1,1
2.960223568,1,0
2.968657166,1,1
2.976894060,1,0
2.985317540,1,1
2.993555062,1,0
3.001989904,1,1
3.010226778,1,0
3.018649776,1,1
3.026898728,1,0
3.035322352,1,1
3.043560018,1,0
3.051994802,1,1
3.060232586,1,0
3.068656282,1,1
3.076894346,1,0
3.085329260,1,1
3.093566670,1,0
3.101990866,1,1
3.110239912,1,0
3.118663168,1,1
3.126900082,1,0
3.135334332,1,1
3.143571774,1,0
3.151995592,1,1
3.160232254,1,0
3.168667228,1,1
3.176905066,1,0
3.185328476,1,1
3.193577298,1,0
3.202001168,1,1
3.210238344,1,0
3.227112764,1,1
3.235350326,1,0
3.243785438,1,1
3.252023746,1,0
3.260446940,1,1
3.268683432,1,0
3.277117878,1,1
3.285355034,1,0
3.293778194,1,1
3.302026422,1,0
3.310448920,1,1
3.318685566,1,0
3.327120050,1,1
3.335357326,1,0
3.343779802,1,1
3.352016920,1,0
3.360451114,1,1
3.368688142,1,0
3.377110694,1,1
3.385358480,1,0
3.393781226,1,1
3.402017540,1,0
3.410451176,1,1
3.418687548,1,0
3.427110730,1,1
3.435348494,1,0
3.443783552,1,1
3.452021668,1,0
3.460445356,1,1
3.468694604,1,0
3.477118874,1,1
3.485357036,1,0
3.493791406,1,1
3.502029264,1,0
3.510453070,1,1
3.518690636,1,0
3.527126308,1,1
3.535364278,1,0
3.543788172,1,1
3.552036864,1,0
3.560460034,1,1
3.568696896,1,0
3.577131710,1,1
3.585369430,1,0
3.593792890,1,1
3.602029318,1,0
3.610463582,1,1
3.618701152,1,0
3.627124180,1,1
3.635372240,1,0
3.643795410,1,1
3.652031780,1,0
3.660466434,1,1
3.668703892,1,0
3.677127018,1,1
3.685365352,1,0
3.693800660,1,1
3.702038666,1,0
3.710462294,1,1
3.718711212,1,0
3.727134074,1,1
3.735370912,1,0
3.743805422,1,1
3.752043074,1,0
3.760466504,1,1
3.768704216,1,0
3.777139320,1,1
3.785377066,1,0
3.793800424,1,1
3.802048660,1,0
3.810472542,1,1
3.818709922,1,0
3.827144808,1,1
3.835382804,1,0
3.843806906,1,1
3.852044258,1,0
3.860479978,1,1
3.868717766,1,0
3.877140852,1,1
3.885389442,1,0
3.893813454,1,1
3.902051274,1,0
3.910485792,1,1
3.918723054,1,0
3.927146244,1,1
3.935384158,1,0
3.943819030,1,1
3.952055896,1,0
3.960479018,1,1
3.968727232,1,0
3.977150486,1,1
3.985388068,1,0
3.993822896,1,1
4.002059304,1,0
4.010481742,1,1
4.018719226,1,0
4.027154000,1,1
4.035391228,1,0
4.043813920,1,1
4.052061452,1,0
4.060484094,1,1
4.068720966,1,0
4.077155546,1,1
4.085392732,1,0
4.093815204,1,1
4.102052396,1,0
4.110487282,1,1
4.118725096,1,0
4.127149062,1,1
4.135398290,1,0
4.143822278,1,1
4.152060368,1,0
4.160495448,1,1
4.168732986,1,0
4.177156338,1,1
4.185393484,1,0
4.193828472,1,1
4.202065106,1,0
4.210488416,1,1
4.218736462,1,0
4.227159764,1,1
4.235397298,1,0
4.243831278,1,1
4.252067934,1,0
4.260490184,1,1
4.268726460,1,0
4.277161166,1,1
4.285398078,1,0
4.293820592,1,1
4.302069366,1,0
4.310491932,1,1
4.318729764,1,0
4.327164912,1,1
4.335402902,1,0
4.343826838,1,1
4.352064338,1,0
4.360500032,1,1
4.368737090,1,0
4.377159294,1,1
4.385407218,1,0
4.393830100,1,1
4.402067554,1,0
4.410502078,1,1
4.418739298,1,0
4.427162946,1,1
4.435400248,1,0
4.443835000,1,1
4.452073048,1,0
4.460497114,1,1
4.468746596,1,0
4.477171128,1,1
4.485408754,1,0
4.493843850,1,1
4.502080752,1,0
4.510503398,1,1
4.518739202,1,0
4.527172888,1,1
4.535409060,1,0
4.543832298,1,1
4.552080938,1,0
4.560504354,1,1
4.568742068,1,0
4.577177098,1,1
4.585414052,1,0
4.593838170,1,1
4.602076302,1,0
4.610511454,1,1
4.618749322,1,0
4.627172588,1,1
4.635420854,1,0
4.643844500,1,1
4.652082238,1,0
4.660516960,1,1
4.668754472,1,0
4.677178352,1,1
4.685415430,1,0
4.693850494,1,1
4.702088678,1,0
4.710512996,1,1
4.718762310,1,0
4.727185862,1,1
4.735423182,1,0
4.743857102,1,1
4.752094724,1,0
4.760518450,1,1
4.768756582,1,0
4.777191600,1,1
4.785429216,1,0
4.793852210,1,1
4.802100064,1,0
4.810523054,1,1
4.818760072,1,0
4.827193652,1,1
4.835429994,1,0
4.843853668,1,1
4.852090660,1,0
4.860525734,1,1
4.868763396,1,0
4.877186244,1,1
4.885434550,1,0
4.893858082,1,1
4.902095476,1,0
4.910529784,1,1
