Time [s],Channel 0,Channel 1
0.000000000,1,1
0.007074514,1,0
0.015507410,1,1
0.023743182,1,0
0.032165236,1,1
0.040402044,1,0
0.048834030,1,1
0.057068828,1,0
0.065489566,1,1
0.073736248,1,0
0.082157492,1,1
0.090391902,1,0
0.098823666,1,1
0.107057726,1,0
0.115478034,1,1
0.123712076,1,0
0.132143370,1,1
0.140377800,1,0
0.148798594,1,1
0.157044350,1,0
0.165465646,1,1
0.173701000,1,0
0.182132850,1,1
0.190367886,1,0
0.198788428,1,1
0.207023202,1,0
0.215455146,1,1
0.223689640,1,0
0.232110154,1,1
0.240356250,1,0
0.248776268,1,1
0.257011934,1,0
0.265444330,1,1
0.273679372,1,0
0.282100380,1,1
0.290335132,1,0
0.298767212,1,1
0.307001706,1,0
0.315422384,1,1
0.323668324,1,0
0.332088952,1,1
0.340323752,1,0
0.348755884,1,1
0.356990290,1,0
0.365411006,1,1
0.373645408,1,0
0.382077454,1,1
0.390312242,1,0
0.398732338,1,1
0.406978236,1,0
0.415398480,1,1
0.423633184,1,0
0.432065090,1,1
0.440300378,1,0
0.448721056,1,1
0.456955004,1,0
0.465386056,1,1
0.473620444,1,0
0.482041216,1,1
0.490287466,1,0
0.498708180,1,1
0.506942448,1,0
0.515374394,1,1
0.523609412,1,0
0.532030604,1,1
0.540265634,1,0
0.548697076,1,1
0.556931366,1,0
0.565351600,1,1
0.573596812,1,0
0.582016662,1,1
0.590251278,1,0
0.598683242,1,1
0.606918178,1,0
0.615338702,1,1
0.623573954,1,0
0.632006654,1,1
0.640242288,1,0
0.648663432,1,1
0.656909412,1,0
0.665330376,1,1
0.673565576,1,0
0.681997678,1,1
0.690232322,1,0
0.698652730,1,1
0.706887900,1,0
0.715320594,1,1
0.723555856,1,0
0.731977186,1,1
0.740223882,1,0
0.748644696,1,1
0.756879132,1,0
0.765311308,1,1
0.773546296,1,0
0.781966708,1,1
0.790201368,1,0
0.798633720,1,1
0.806868660,1,0
0.815289748,1,1
0.823536254,1,0
0.831956896,1,1
0.840191480,1,0
0.848623428,1,1
0.856858390,1,0
0.865279452,1,1
0.873515156,1,0
0.881948192,1,1
0.890183138,1,0
0.898604290,1,1
0.906850618,1,0
0.915271940,1,1
0.923507454,1,0
0.931939458,1,1
0.940173692,1,0
0.948593104,1,1
0.956827930,1,0
0.965260020,1,1
0.973495608,1,0
0.981917576,1,1
0.990164952,1,0
0.998585976,1,1
1.006820616,1,0
1.015252194,1,1
1.023486680,1,0
1.031907868,1,1
1.040143560,1,0
1.048576130,1,1
1.056811452,1,0
1.065232946,1,1
1.073480068,1,0
1.081901108,1,1
1.090136742,1,0
1.098569178,1,1
1.106804344,1,0
1.115225596,1,1
1.123460988,1,0
1.131893242,1,1
1.140128178,1,0
1.148549082,1,1
1.156795786,1,0
1.165217376,1,1
1.173452996,1,0
1.181886132,1,1
1.190121538,1,0
1.198542816,1,1
1.206778140,1,0
1.215209488,1,1
1.223443718,1,0
1.231863330,1,1
1.240109586,1,0
1.248530432,1,1
1.256765492,1,0
1.265198178,1,1
1.273432798,1,0
1.281853798,1,1
1.290089086,1,0
1.298521612,1,1
1.306756472,1,0
1.315177620,1,1
1.323423970,1,0
1.331844926,1,1
1.340079282,1,0
1.348510892,1,1
1.356744590,1,0
1.365164790,1,1
1.373400012,1,0
1.381831362,1,1
1.390065090,1,0
1.398485112,1,1
1.406730342,1,0
1.415150034,1,1
1.423384928,1,0
1.431816924,1,1
1.440051746,1,0
1.448471992,1,1
1.456706678,1,0
1.465138306,1,1
1.473372842,1,0
1.481793416,1,1
1.490039112,1,0
1.498459242,1,1
1.506693556,1,0
1.515124754,1,1
1.523358552,1,0
1.531778390,1,1
1.540012948,1,0
1.548445256,1,1
1.556680906,1,0
1.565101912,1,1
1.573348770,1,0
1.581769838,1,1
1.590004002,1,0
1.598436236,1,1
1.606670718,1,0
1.615091612,1,1
1.623325710,1,0
1.640193530,1,1
1.648438578,1,0
1.656858520,1,1
1.665092902,1,0
1.673513798,1,1
1.681760418,1,0
1.690180970,1,1
1.698415396,1,0
1.706847016,1,1
1.715081918,1,0
1.723502096,1,1
1.731746930,1,0
1.740166906,1,1
1.748400630,1,0
1.756821046,1,1
1.765067008,1,0
1.773487800,1,1
1.781721778,1,0
1.790153418,1,1
1.798387762,1,0
1.806807664,1,1
1.815053594,1,0
1.823474626,1,1
1.831708644,1,0
1.840128744,1,1
1.848374512,1,0
1.856794842,1,1
1.865029206,1,0
1.873460802,1,1
1.881694806,1,0
1.890115568,1,1
1.898361934,1,0
1.906782450,1,1
1.915016800,1,0
1.923437056,1,1
1.931682356,1,0
1.940103702,1,1
1.948338738,1,0
1.956771346,1,1
1.965005898,1,0
1.973426282,1,1
1.981671484,1,0
1.990091308,1,1
1.998325588,1,0
2.006746344,1,1
2.014991770,1,0
2.023412038,1,1
2.031646480,1,0
2.040078622,1,1
2.048314166,1,0
2.056735774,1,1
2.064982432,1,0
2.073403756,1,1
2.081638042,1,0
2.090058974,1,1
2.098304528,1,0
2.106724182,1,1
2.114958310,1,0
2.123389568,1,1
2.131623630,1,0
2.140043904,1,1
2.148289734,1,0
2.156709938,1,1
2.164944990,1,0
2.173365992,1,1
2.181612254,1,0
2.190033258,1,1
2.198267858,1,0
2.206700240,1,1
2.214934506,1,0
2.223354554,1,1
2.231600898,1,0
2.240021464,1,1
2.248256188,1,0
2.256677102,1,1
2.264923142,1,0
2.273343520,1,1
2.281578706,1,0
2.290011152,1,1
2.298246724,1,0
2.306667730,1,1
2.314914584,1,0
2.323334656,1,1
2.331569412,1,0
2.339990518,1,1
2.348236502,1,0
2.356657534,1,1
2.364892998,1,0
2.373324136,1,1
2.381558824,1,0
2.389979482,1,1
2.398224472,1,0
2.406644190,1,1
2.414878386,1,0
2.423298664,1,1
2.431544406,1,0
2.439964508,1,1
2.448198834,1,0
2.456630864,1,1
2.464865332,1,0
2.473285430,1,1
2.481531124,1,0
2.489951384,1,1
2.498185734,1,0
2.506605922,1,1
2.514851466,1,0
2.523271158,1,1
2.531504886,1,0
2.539936160,1,1
2.548170506,1,0
2.556590792,1,1
2.564837074,1,0
2.573257468,1,1
2.581491526,1,0
2.589911844,1,1
2.598158058,1,0
2.606578698,1,1
2.614812900,1,0
2.623244562,1,1
2.631479018,1,0
2.639900370,1,1
2.648146592,1,0
2.656567084,1,1
2.664801610,1,0
2.673222490,1,1
2.681467822,1,0
2.689888162,1,1
2.698122744,1,0
2.706554422,1,1
2.714788590,1,0
2.723209228,1,1
2.731454784,1,0
2.739875220,1,1
2.748109670,1,0
2.756530032,1,1
2.764775548,1,0
2.773195586,1,1
2.781429124,1,0
2.789860066,1,1
2.798094210,1,0
2.806514562,1,1
2.814760520,1,0
2.823181544,1,1
2.831416940,1,0
2.839838144,1,1
2.848084286,1,0
2.856505096,1,1
2.864739826,1,0
2.873172142,1,1
2.881406542,1,0
2.889826734,1,1
2.898072556,1,0
2.906492742,1,1
2.914726928,1,0
2.923147368,1,1
2.931391736,1,0
2.939811824,1,1
2.948046470,1,0
2.956478240,1,1
2.964712324,1,0
2.973133092,1,1
2.981378490,1,0
2.989798876,1,1
2.998033750,1,0
3.006454372,1,1
3.014700170,1,0
3.023120938,1,1
3.031355790,1,0
3.039787772,1,1
3.048022244,1,0
3.056442002,1,1
3.064687820,1,0
3.073107664,1,1
3.081342352,1,0
3.089763382,1,1
3.098009026,1,0
3.106429398,1,1
3.114663900,1,0
3.123095396,1,1
3.131330368,1,0
3.139750838,1,1
3.147996554,1,0
3.156416730,1,1
3.164651670,1,0
3.173072246,1,1
3.181318508,1,0
3.189739244,1,1
3.197973946,1,0
3.206405656,1,1
3.214640734,1,0
3.223061546,1,1
3.231307234,1,0
3.239727474,1,1
3.247961816,1,0
3.256381970,1,1
3.264628332,1,0
3.273048652,1,1
3.281283356,1,0
3.289714854,1,1
3.297948792,1,0
3.306368802,1,1
3.314614216,1,0
3.323034258,1,1
3.331268652,1,0
3.339689082,1,1
3.347934282,1,0
3.356354812,1,1
3.364589288,1,0
3.373020544,1,1
3.381254554,1,0
3.389675024,1,1
3.397920492,1,0
3.406340242,1,1
3.414574556,1,0
3.422995072,1,1
3.431240652,1,0
3.439661260,1,1
3.447895088,1,0
3.456326808,1,1
3.464560590,1,0
3.472980760,1,1
3.481226114,1,0
3.489645716,1,1
3.497879650,1,0
3.506299756,1,1
3.514545210,1,0
3.522965806,1,1
3.531199982,1,0
3.539630716,1,1
3.547863792,1,0
3.556283216,1,1
3.564528066,1,0
3.572947872,1,1
3.581181454,1,0
3.589612870,1,1
3.597847308,1,0
3.606267744,1,1
3.614502166,1,0
3.622933648,1,1
3.631167552,1,0
3.639587416,1,1
3.647832706,1,0
3.656252998,1,1
3.664486676,1,0
3.672905908,1,1
3.681151194,1,0
3.689571992,1,1
3.697805928,1,0
3.706237758,1,1
3.714472132,1,0
3.731340918,1,1
3.739575096,1,0
3.747995114,1,1
3.756240926,1,0
3.764661352,1,1
3.772896028,1,0
3.781327332,1,1
3.789561152,1,0
3.797981324,1,1
3.806215238,1,0
3.814646658,1,1
3.822880916,1,0
3.831301460,1,1
3.839546932,1,0
3.847966390,1,1
3.856200244,1,0
3.864631272,1,1
3.872865164,1,0
3.881285534,1,1
3.889519874,1,0
3.897951400,1,1
3.906185122,1,0
3.914604716,1,1
3.922850290,1,0
3.931270330,1,1
3.939504404,1,0
3.947936300,1,1
3.956170188,1,0
3.964590812,1,1
3.972825334,1,0
3.981256800,1,1
3.989490584,1,0
3.997910714,1,1
4.006156428,1,0
4.014575760,1,1
4.022810008,1,0
4.031241238,1,1
4.039474550,1,0
4.047894108,1,1
4.056128286,1,0
4.064559996,1,1
4.072793894,1,0
4.081213640,1,1
4.089458646,1,0
4.097877930,1,1
4.106111814,1,0
4.114542536,1,1
4.122776172,1,0
4.131195652,1,1
4.139428958,1,0
4.147860290,1,1
4.156095206,1,0
4.164515550,1,1
4.172761858,1,0
4.181182646,1,1
4.189416184,1,0
4.197847316,1,1
4.206081972,1,0
4.214502150,1,1
4.222735610,1,0
4.231166314,1,1
4.239398866,1,0
4.247818412,1,1
4.256063386,1,0
4.264483574,1,1
4.272717278,1,0
4.281147684,1,1
4.289380882,1,0
4.297800422,1,1
4.306034162,1,0
4.314466326,1,1
4.322700668,1,0
4.331121286,1,1
4.339367176,1,0
4.347788158,1,1
4.356023286,1,0
4.364455938,1,1
4.372690724,1,0
4.381110926,1,1
4.389345348,1,0
4.397776880,1,1
4.406011034,1,0
4.414431378,1,1
4.422677256,1,0
4.431096346,1,1
4.439329702,1,0
4.447761484,1,1
4.455995504,1,0
4.464416518,1,1
4.472651030,1,0
4.481082686,1,1
4.489316814,1,0
4.497736378,1,1
4.505981512,1,0
4.514401514,1,1
4.522636030,1,0
4.531068056,1,1
4.539302484,1,0
4.547722302,1,1
4.555956812,1,0
4.564388474,1,1
4.572622678,1,0
4.581042508,1,1
4.589287820,1,0
4.597708392,1,1
4.605943338,1,0
4.614374818,1,1
4.622609010,1,0
4.631028944,1,1
4.639263760,1,0
4.647695314,1,1
4.655929562,1,0
4.664350438,1,1
4.672595610,1,0
4.681014276,1,1
4.689247850,1,0
4.697679384,1,1
4.705914196,1,0
4.714335404,1,1
4.722569040,1,0
4.731000400,1,1
4.739235042,1,0
4.747655430,1,1
4.755900618,1,0
4.764320884,1,1
4.772554112,1,0
4.780984904,1,1
4.789218558,1,0
4.797638918,1,1
4.805873478,1,0
4.814305036,1,1
4.822540338,1,0
4.830961036,1,1
4.839207240,1,0
4.847627956,1,1
4.855862556,1,0
4.864294886,1,1
4.872529868,1,0
4.880951590,1,1
4.889187642,1,0
4.897620704,1,1
4.905855570,1,0
4.914276148,1,1
4.922521048,1,0
4.930941514,1,1
4.939176218,1,0
4.947608186,1,1
4.955842922,1,0
4.964264150,1,1
4.972498722,1,0
4.980930128,1,1
4.989164470,1,0
4.997585182,1,1
5.005831436,1,0
5.014252142,1,1
5.022486650,1,0
5.030918492,1,1
5.039153278,1,0
5.047573828,1,1
5.055808548,1,0
5.064240386,1,1
5.072475360,1,0
5.080896764,1,1
5.089142374,1,0
5.097563166,1,1
5.105798318,1,0
5.114230198,1,1
5.122464238,1,0
5.130883954,1,1
5.139118762,1,0
5.147550528,1,1
5.155785084,1,0
5.164205614,1,1
5.172452036,1,0
5.180872228,1,1
5.189106562,1,0
5.197537852,1,1
5.205772908,1,0
5.214193464,1,1
5.222427732,1,0
5.230860006,1,1
5.239094794,1,0
5.247515642,1,1
5.255761594,1,0
5.264182398,1,1
5.272417492,1,0
5.280849694,1,1
5.289084360,1,0
5.297505092,1,1
5.297505094,1,0
5.297505096,1,1
5.305739280,1,0
5.314170874,1,1
5.322405694,1,0
5.330826814,1,1
5.339073230,1,0
5.347494950,1,1
5.355730398,1,0
5.364161718,1,1
5.372396282,1,0
5.380816896,1,1
5.389051314,1,0
5.397483430,1,1
5.405718116,1,0
5.414138788,1,1
5.422384322,1,0
5.430805032,1,1
5.439039802,1,0
5.447471624,1,1
5.455706602,1,0
5.464127330,1,1
5.472362220,1,0
5.480793758,1,1
5.489028312,1,0
5.497448266,1,1
5.505694212,1,0
5.514114190,1,1
5.522349284,1,0
5.530781192,1,1
5.539017398,1,0
5.547438764,1,1
5.555673438,1,0
5.564106270,1,1
5.572341580,1,0
5.580763680,1,1
5.589010730,1,0
5.597431962,1,1
5.605666206,1,0
5.614098024,1,1
5.622332588,1,0
5.630753334,1,1
5.638988346,1,0
5.647420050,1,1
5.655654426,1,0
5.664074970,1,1
5.672321134,1,0
5.680742404,1,1
5.688976830,1,0
5.697408426,1,1
5.705642356,1,0
5.714063038,1,1
5.722297746,1,0
5.730729724,1,1
5.738964270,1,0
5.747384662,1,1
5.755630622,1,0
5.764051844,1,1
5.772287010,1,0
5.780719590,1,1
5.788954008,1,0
5.797374566,1,1
5.805609582,1,0
5.822479492,1,1
5.830715702,1,0
5.839148446,1,1
5.847383856,1,0
5.855804748,1,1
5.864051046,1,0
5.872472804,1,1
5.880707766,1,0
5.889139706,1,1
5.897374216,1,0
5.905794574,1,1
5.914029736,1,0
5.922461900,1,1
5.930697254,1,0
5.939118204,1,1
5.947363968,1,0
5.955784328,1,1
5.964019708,1,0
5.972452142,1,1
5.980687508,1,0
5.989108286,1,1
5.997342778,1,0
6.005774900,1,1
6.014009540,1,0
6.022430362,1,1
6.030676304,1,0
6.039097526,1,1
6.047332310,1,0
6.055764618,1,1
6.063999914,1,0
6.072421218,1,1
6.080657134,1,0
6.089089870,1,1
6.097325526,1,0
6.105747308,1,1
6.113993900,1,0
6.122415158,1,1
6.130651324,1,0
6.139084018,1,1
6.147318854,1,0
6.155740172,1,1
6.163975332,1,0
6.172408264,1,1
6.180644244,1,0
6.189065428,1,1
6.197311558,1,0
6.205732388,1,1
6.213967518,1,0
6.222400182,1,1
6.230634560,1,0
6.239055482,1,1
6.247290382,1,0
6.255723290,1,1
6.263958150,1,0
6.272379076,1,1
6.280626116,1,0
6.289047392,1,1
6.297282596,1,0
6.305715560,1,1
6.313951386,1,0
6.322372698,1,1
6.330608216,1,0
6.339040700,1,1
6.347276122,1,0
6.355697290,1,1
6.363943924,1,0
6.372365304,1,1
6.380600950,1,0
6.389032884,1,1
6.397267312,1,0
6.405688496,1,1
6.413923426,1,0
6.422355338,1,1
6.430590362,1,0
6.439011106,1,1
6.447257040,1,0
6.455677768,1,1
6.463912866,1,0
6.472345284,1,1
6.480579716,1,0
6.489000726,1,1
6.497235736,1,0
6.505668090,1,1
6.513903112,1,0
6.522324134,1,1
6.530570680,1,0
6.538991772,1,1
6.547227248,1,0
6.555659248,1,1
6.563893804,1,0
6.572314758,1,1
6.580549784,1,0
6.588982464,1,1
6.597216978,1,0
6.605636932,1,1
6.613881892,1,0
6.622301382,1,1
6.630535460,1,0
6.638966500,1,1
6.647200038,1,0
6.655619916,1,1
6.663853656,1,0
6.672284948,1,1
6.680518884,1,0
6.688937900,1,1
6.697183574,1,0
6.705603536,1,1
6.713837706,1,0
6.722269186,1,1
6.730503566,1,0
6.738923618,1,1
6.747157960,1,0
6.755589622,1,1
6.763823874,1,0
6.772243788,1,1
6.780489340,1,0
6.788909390,1,1
6.797143248,1,0
6.805575516,1,1
6.813809882,1,0
6.822230542,1,1
6.830464852,1,0
6.838896686,1,1
6.847131064,1,0
6.855550822,1,1
6.863796362,1,0
6.872216358,1,1
6.880451058,1,0
6.888883596,1,1
6.897118588,1,0
6.905539766,1,1
6.913774278,1,0
6.922206050,1,1
6.930440570,1,0
6.938860210,1,1
6.947105774,1,0
6.955526466,1,1
6.963760472,1,0
6.972192206,1,1
6.980426534,1,0
6.988846824,1,1
6.997080934,1,0
7.005513330,1,1
7.013748524,1,0
7.022169912,1,1
7.030416512,1,0
7.038837446,1,1
7.047072016,1,0
7.055504288,1,1
7.063739496,1,0
7.072161288,1,1
7.080397164,1,0
7.088829820,1,1
7.097065628,1,0
7.105487418,1,1
7.113733974,1,0
7.122155930,1,1
7.130391614,1,0
7.138824302,1,1
7.147059590,1,0
7.155480958,1,1
7.163715950,1,0
7.172148374,1,1
7.180382840,1,0
7.188803932,1,1
7.197050804,1,0
7.205472698,1,1
7.213708246,1,0
7.222140900,1,1
7.230376308,1,0
7.238797584,1,1
7.247033058,1,0
7.255465588,1,1
7.263700410,1,0
7.272121526,1,1
7.280368386,1,0
7.288789458,1,1
7.297024878,1,0
7.305457780,1,1
7.313692814,1,0
7.322113852,1,1
7.330348818,1,0
7.338781298,1,1
7.347015916,1,0
7.355436992,1,1
7.363683794,1,0
7.372105154,1,1
7.380340720,1,0
7.388773234,1,1
7.397008650,1,0
7.405430530,1,1
7.413665472,1,0
7.422097322,1,1
7.430332100,1,0
7.438752704,1,1
7.446998748,1,0
7.455419762,1,1
7.463655004,1,0
7.472087172,1,1
7.480322518,1,0
7.488743874,1,1
7.496979598,1,0
7.505413182,1,1
