Time [s],Channel 0,Channel 1
0.000000000,1,1
19.984210858,0,1
19.984222656,0,0
19.984265232,0,1
19.984288458,1,1
19.984307808,1,0
19.984348908,1,1
19.984391494,1,0
19.984432588,1,1
19.984454020,0,1
19.984474184,0,0
19.984515288,0,1
19.984538514,1,1
19.984557862,1,0
19.984598960,1,1
19.984641536,1,0
19.984682630,1,1
19.984725212,1,0
19.984766312,1,1
19.984787744,0,1
19.984807910,0,0
19.984849012,0,1
19.984890610,0,0
19.984934176,0,1
19.984975772,0,0
19.985013922,0,1
19.985037152,1,1
19.985056502,1,0
19.985101044,1,1
19.985119542,1,0
19.991880524,1,1
19.995172692,0,1
19.995184482,0,0
19.995227042,0,1
19.995268620,0,0
19.995309702,0,1
19.995332918,1,1
19.995352260,1,0
19.995393342,1,1
19.995414766,0,1
19.995434922,0,0
19.995476004,0,1
19.995517580,0,0
19.995558662,0,1
19.995600240,0,0
19.995641330,0,1
19.995682912,0,0
19.995723998,0,1
19.995747214,1,1
19.995766558,1,0
19.995807644,1,1
19.995829070,0,1
19.995849228,0,0
19.995892780,0,1
19.995916002,1,1
19.995935344,1,0
19.995973476,1,1
19.996016036,1,0
19.996060560,1,1
19.996078822,1,0
19.999880464,1,1
20.040211992,0,1
20.040223786,0,0
20.040266358,0,1
20.040307948,0,0
20.040349046,0,1
20.040390654,0,0
20.040431776,0,1
20.040473394,0,0
20.040514510,0,1
20.040556110,0,0
20.040597218,0,1
20.040620446,1,1
20.040639794,1,0
20.040680892,1,1
20.040723474,1,0
20.040764570,1,1
20.040807154,1,0
20.040848252,1,1
20.040890834,1,0
20.040934390,1,1
20.040976968,1,0
20.041015110,1,1
20.041057686,1,0
20.041102230,1,1
20.044733442,0,1
20.044745238,0,0
20.044787816,0,1
20.044829412,0,0
20.044870512,0,1
20.044893738,1,1
20.044913090,1,0
20.044954188,1,1
20.044975624,0,1
20.044995788,0,0
20.045036890,0,1
20.045078486,0,0
20.045119586,0,1
20.045161182,0,0
20.045202288,0,1
20.045243880,0,0
20.045284984,0,1
20.045308214,1,1
20.045327564,1,0
20.045368662,1,1
20.045390096,0,1
20.045410258,0,0
20.045453808,0,1
20.045477026,1,1
20.045496366,1,0
20.045534492,1,1
20.045577052,1,0
20.045621576,1,1
20.052949778,1,0
20.055879584,1,1
20.070429222,0,1
20.070441020,0,0
20.070483602,0,1
20.070525200,0,0
20.070566306,0,1
20.070607912,0,0
20.070649022,0,1
20.070690626,0,0
20.070731742,0,1
20.070773346,0,0
20.070814458,0,1
20.070837688,1,1
20.070857040,1,0
20.070898146,1,1
20.070940726,1,0
20.070981826,1,1
20.071024410,1,0
20.071065510,1,1
20.071108092,1,0
20.071151658,1,1
20.071194238,1,0
20.071232390,1,1
20.071274976,1,0
20.071319526,1,1
20.074944068,0,1
20.074955862,0,0
20.074998442,0,1
20.075021670,1,1
20.075041020,1,0
20.075082122,1,1
20.075124704,1,0
20.075165808,1,1
20.075187242,0,1
20.075207408,0,0
20.075248514,0,1
20.075271738,1,1
20.075291092,1,0
20.075332194,1,1
20.075374780,1,0
20.075415878,1,1
20.075458464,1,0
20.075499564,1,1
20.075520998,0,1
20.075541164,0,0
20.075582272,0,1
20.075623882,0,0
20.075667460,0,1
20.075709062,0,0
20.075747216,0,1
20.075770444,1,1
20.075789792,1,0
20.075834338,1,1
20.083864772,1,0
20.087880166,1,1
20.136618174,0,1
20.136629972,0,0
20.136672558,0,1
20.136695790,1,1
20.136715144,1,0
20.136756262,1,1
20.136798858,1,0
20.136839974,1,1
20.136861416,0,1
20.136881590,0,0
20.136922714,0,1
20.136945950,1,1
20.136965308,1,0
20.137006426,1,1
20.137049026,1,0
20.137090144,1,1
20.137132742,1,0
20.137173860,1,1
20.137195308,0,1
20.137215482,0,0
20.137256604,0,1
20.137298220,0,0
20.137341808,0,1
20.137383422,0,0
20.137421592,0,1
20.137444830,1,1
20.137464190,1,0
20.137508756,1,1
20.137526646,1,0
20.143879860,1,1
20.470640428,0,1
20.470652226,0,0
20.470694806,0,1
20.470736400,0,0
20.470777508,0,1
20.470819102,0,0
20.470860202,0,1
20.470901802,0,0
20.470942906,0,1
20.470984500,0,0
20.471025606,0,1
20.471048836,1,1
20.471068188,1,0
20.471109288,1,1
20.471151878,1,0
20.471192988,1,1
20.471235574,1,0
20.471276674,1,1
20.471319254,1,0
20.471362806,1,1
20.471405386,1,0
20.471443532,1,1
20.471486110,1,0
20.471530654,1,1
20.475155072,0,1
20.475166866,0,0
20.475209436,0,1
20.475232660,1,1
20.475252008,1,0
20.475293102,1,1
20.475335678,1,0
20.475376776,1,1
20.475398210,0,1
20.475418374,0,0
20.475459476,0,1
20.475482700,1,1
20.475502050,1,0
20.475543148,1,1
20.475585728,1,0
20.475626830,1,1
20.475669412,1,0
20.475710510,1,1
20.475731942,0,1
20.475752108,0,0
20.475793214,0,1
20.475834806,0,0
20.475878370,0,1
20.475919966,0,0
20.475958114,0,1
20.475981342,1,1
20.476000692,1,0
20.476045240,1,1
20.483743008,1,0
20.487879636,1,1
20.539499612,0,1
20.539511408,0,0
20.539553988,0,1
20.539577218,1,1
20.539596568,1,0
20.539637668,1,1
20.539680258,1,0
20.539721360,1,1
20.539742798,0,1
20.539762966,0,0
20.539804074,0,1
20.539827300,1,1
20.539846652,1,0
20.539887750,1,1
20.539930330,1,0
20.539971434,1,1
20.540014016,1,0
20.540055114,1,1
20.540076548,0,1
20.540096714,0,0
20.540137818,0,1
20.540179416,0,0
20.540222982,0,1
20.540264578,0,0
20.540302728,0,1
20.540325956,1,1
20.540345312,1,0
20.540389878,1,1
20.540408080,1,0
20.543878728,1,1
20.569653354,0,1
20.569665152,0,0
20.569707738,0,1
20.569749338,0,0
20.569790446,0,1
20.569813676,1,1
20.569833030,1,0
20.569874134,1,1
20.569895572,0,1
20.569915740,0,0
20.569956848,0,1
20.569998448,0,0
20.570039556,0,1
20.570081160,0,0
20.570122270,0,1
20.570163872,0,0
20.570204984,0,1
20.570228216,1,1
20.570247568,1,0
20.570288674,1,1
20.570310112,0,1
20.570330280,0,0
20.570373850,0,1
20.570397080,1,1
20.570416432,1,0
20.570454580,1,1
20.570497168,1,0
20.570541714,1,1
20.570560910,1,0
20.575878458,1,1
20.603809058,0,1
20.603820854,0,0
20.603863432,0,1
20.603905028,0,0
20.603946138,0,1
20.603987736,0,0
20.604028842,0,1
20.604070444,0,0
20.604111550,0,1
20.604153150,0,0
20.604194258,0,1
20.604217488,1,1
20.604236836,1,0
20.604277938,1,1
20.604320520,1,0
20.604361618,1,1
20.604404194,1,0
20.604445292,1,1
20.604487870,1,0
20.604531426,1,1
20.604574008,1,0
20.604612156,1,1
20.604654734,1,0
20.604699280,1,1
20.608330582,0,1
20.608342382,0,0
20.608384986,0,1
20.608426608,0,0
20.608467738,0,1
20.608490970,1,1
20.608510324,1,0
20.608551426,1,1
20.608572866,0,1
20.608593034,0,0
20.608634138,0,1
20.608675738,0,0
20.608716844,0,1
20.608758436,0,0
20.608799542,0,1
20.608841136,0,0
20.608882236,0,1
20.608905464,1,1
20.608924814,1,0
20.608965912,1,1
20.608987344,0,1
20.609007508,0,0
20.609051070,0,1
20.609074296,1,1
20.609093648,1,0
20.609131790,1,1
20.609174370,1,0
20.609218910,1,1
20.616684346,1,0
20.623878660,1,1
20.636599970,0,1
20.636611768,0,0
20.636654350,0,1
20.636695946,0,0
20.636737052,0,1
20.636778650,0,0
20.636819762,0,1
20.636861364,0,0
20.636902472,0,1
20.636944070,0,0
20.636985178,0,1
20.637008410,1,1
20.637027760,1,0
20.637068862,1,1
20.637111448,1,0
20.637152550,1,1
20.637195134,1,0
20.637236236,1,1
20.637278820,1,0
20.637322382,1,1
20.637364964,1,0
20.637403110,1,1
20.637445690,1,0
20.637490240,1,1
20.641114832,0,1
20.641126628,0,0
20.641169202,0,1
20.641192430,1,1
20.641211778,1,0
20.641252874,1,1
20.641295456,1,0
20.641336558,1,1
20.641357990,0,1
20.641378156,0,0
20.641419256,0,1
20.641442486,1,1
20.641461834,1,0
20.641502930,1,1
20.641545512,1,0
20.641586612,1,1
20.641629190,1,0
20.641670296,1,1
20.641691732,0,1
20.641711900,0,0
20.641753006,0,1
20.641794604,0,0
20.641838172,0,1
20.641879770,0,0
20.641917924,0,1
20.641941152,1,1
20.641960502,1,0
20.642005046,1,1
20.649651928,1,0
20.655879666,1,1
20.689465334,0,1
20.689477128,0,0
20.689519706,0,1
20.689542934,1,1
20.689562284,1,0
20.689603382,1,1
20.689645964,1,0
20.689687068,1,1
20.689708506,0,1
20.689728672,0,0
20.689769778,0,1
20.689793004,1,1
20.689812354,1,0
20.689853452,1,1
20.689896032,1,0
20.689937136,1,1
20.689979714,1,0
20.690020814,1,1
20.690042246,0,1
20.690062410,0,0
20.690103510,0,1
20.690145100,0,0
20.690188664,0,1
20.690230256,0,0
20.690268400,0,1
20.690291624,1,1
20.690310974,1,0
20.690355526,1,1
20.690374820,1,0
20.695878666,1,1
20.708796666,0,1
20.708808466,0,0
20.708851048,0,1
20.708892648,0,0
20.708933756,0,1
20.708956984,1,1
20.708976336,1,0
20.709017436,1,1
20.709038872,0,1
20.709059040,0,0
20.709100144,0,1
20.709141744,0,0
20.709182852,0,1
20.709224456,0,0
20.709265564,0,1
20.709307164,0,0
20.709348272,0,1
20.709371500,1,1
20.709390852,1,0
20.709431956,1,1
20.709453392,0,1
20.709473560,0,0
20.709517128,0,1
20.709540354,1,1
20.709559708,1,0
20.709597856,1,1
20.709640442,1,0
20.709684994,1,1
20.709703592,1,0
20.711872436,1,1
20.767605064,0,1
20.767616860,0,0
20.767659442,0,1
20.767701036,0,0
20.767742136,0,1
20.767783734,0,0
20.767824840,0,1
20.767866434,0,0
20.767907540,0,1
20.767949136,0,0
20.767990238,0,1
20.768013468,1,1
20.768032820,1,0
20.768073918,1,1
20.768116494,1,0
20.768157590,1,1
20.768200176,1,0
20.768241274,1,1
20.768283856,1,0
20.768327420,1,1
20.768370002,1,0
20.768408146,1,1
20.768450730,1,0
20.768495272,1,1
20.772126736,0,1
20.772138534,0,0
20.772181112,0,1
20.772222710,0,0
20.772263818,0,1
20.772287046,1,1
20.772306394,1,0
20.772347502,1,1
20.772368940,0,1
20.772389108,0,0
20.772430218,0,1
20.772471814,0,0
20.772512922,0,1
20.772554514,0,0
20.772595616,0,1
20.772637214,0,0
20.772678330,0,1
20.772701564,1,1
20.772720914,1,0
20.772762016,1,1
20.772783454,0,1
20.772803620,0,0
20.772847190,0,1
20.772870420,1,1
20.772889774,1,0
20.772927924,1,1
20.772970508,1,0
20.773015062,1,1
20.780523580,1,0
20.783878278,1,1
20.797823198,0,1
20.797834996,0,0
20.797877572,0,1
20.797919170,0,0
20.797960274,0,1
20.798001866,0,0
20.798042972,0,1
20.798084570,0,0
20.798125674,0,1
20.798167272,0,0
20.798208376,0,1
20.798231604,1,1
20.798250952,1,0
20.798292050,1,1
20.798334630,1,0
20.798375728,1,1
20.798418312,1,0
20.798459414,1,1
20.798501994,1,0
20.798545550,1,1
20.798588132,1,0
20.798626278,1,1
20.798668858,1,0
20.798713408,1,1
20.802337938,0,1
