Time [s],Channel 0,Channel 1
0.000000000,1,1
16.696736370,0,1
16.696748232,0,0
16.696791072,0,1
16.696814436,1,1
16.696833876,1,0
16.696875228,1,1
16.696918034,1,0
16.696959390,1,1
16.696980930,0,1
16.697001212,0,0
16.697042568,0,1
16.697084388,0,0
16.697125750,0,1
16.697149114,1,1
16.697168558,1,0
16.697209916,1,1
16.697252724,1,0
16.697294080,1,1
16.697315620,0,1
16.697335902,0,0
16.697377264,0,1
16.697419086,0,0
16.697462930,0,1
16.697486296,1,1
16.697505740,1,0
16.697544126,1,1
16.697586936,1,0
16.697631758,1,1
16.697650414,1,0
16.698018838,1,1
16.776906668,0,1
16.776918528,0,0
16.776961340,0,1
16.777003146,0,0
16.777044498,0,1
16.777086312,0,0
16.777127652,0,1
16.777169452,0,0
16.777210790,0,1
16.777252582,0,0
16.777293918,0,1
16.777317268,1,1
16.777336702,1,0
16.777378046,1,1
16.777420852,1,0
16.777462208,1,1
16.777505016,1,0
16.777546360,1,1
16.777589160,1,0
16.777632982,1,1
16.777675790,1,0
16.777714174,1,1
16.777756986,1,0
16.777801812,1,1
16.781449894,0,1
16.781461762,0,0
16.781504614,0,1
16.781527976,1,1
16.781547420,1,0
16.781588782,1,1
16.781631592,1,0
16.781672944,1,1
16.781694482,0,1
16.781714762,0,0
16.781756118,0,1
16.781797938,0,0
16.781839296,0,1
16.781862662,1,1
16.781882104,1,0
16.781923462,1,1
16.781966268,1,0
16.782007620,1,1
16.782029160,0,1
16.782049440,0,0
16.782090796,0,1
16.782132618,0,0
16.782176452,0,1
16.782199814,1,1
16.782219256,1,0
16.782257642,1,1
16.782300454,1,0
16.782345272,1,1
16.789694638,1,0
16.794019216,1,1
16.905924536,0,1
16.905936400,0,0
16.905979240,0,1
16.906002606,1,1
16.906022046,1,0
16.906063400,1,1
16.906106202,1,0
16.906147558,1,1
16.906169094,0,1
16.906189374,0,0
16.906230724,0,1
16.906254088,1,1
16.906273530,1,0
16.906314880,1,1
16.906357684,1,0
16.906399038,1,1
16.906441840,1,0
16.906483194,1,1
16.906504732,0,1
16.906525014,0,0
16.906566370,0,1
16.906608186,0,0
16.906652020,0,1
16.906693834,0,0
16.906732220,0,1
16.906755578,1,1
16.906775020,1,0
16.906819838,1,1
16.906837240,1,0
16.914018732,1,1
16.916672710,0,1
16.916684576,0,0
16.916727422,0,1
16.916750792,1,1
16.916770240,1,0
16.916811604,1,1
16.916854418,1,0
16.916895780,1,1
16.916917320,0,1
16.916937606,0,0
16.916978972,0,1
16.917020800,0,0
16.917062170,0,1
16.917085534,1,1
16.917104976,1,0
16.917146338,1,1
16.917189152,1,0
16.917230508,1,1
16.917252050,0,1
16.917272332,0,0
16.917313694,0,1
16.917355512,0,0
16.917399354,0,1
16.917422722,1,1
16.917442164,1,0
16.917480556,1,1
16.917523370,1,0
16.917568190,1,1
16.917586174,1,0
16.922018742,1,1
16.937428674,0,1
16.937440538,0,0
16.937483388,0,1
16.937525210,0,0
16.937566572,0,1
16.937608398,0,0
16.937649760,0,1
16.937691578,0,0
16.937732944,0,1
16.937774760,0,0
16.937816118,0,1
16.937839486,1,1
16.937858930,1,0
16.937900288,1,1
16.937943106,1,0
16.937984490,1,1
16.938027310,1,0
16.938068668,1,1
16.938111482,1,0
16.938155316,1,1
16.938198122,1,0
16.938236512,1,1
16.938279322,1,0
16.938324142,1,1
16.941969610,0,1
16.941981474,0,0
16.942024322,0,1
16.942047688,1,1
16.942067132,1,0
16.942108488,1,1
16.942151302,1,0
16.942192662,1,1
16.942214206,0,1
16.942234488,0,0
16.942275850,0,1
16.942299214,1,1
16.942318662,1,0
16.942360024,1,1
16.942402838,1,0
16.942444198,1,1
16.942487014,1,0
16.942528368,1,1
16.942549910,0,1
16.942570194,0,0
16.942611558,0,1
16.942653380,0,0
16.942697220,0,1
16.942739044,0,0
16.942777438,0,1
16.942800804,1,1
16.942820248,1,0
16.942865078,1,1
16.946513704,0,1
16.946525570,0,0
16.946568414,0,1
16.946610234,0,0
16.946651596,0,1
16.946693414,0,0
16.946734776,0,1
16.946776598,0,0
16.946817958,0,1
16.946859776,0,0
16.946901140,0,1
16.946924504,1,1
16.946943946,1,0
16.946985304,1,1
16.947028114,1,0
16.947069472,1,1
16.947112278,1,0
16.947153636,1,1
16.947196450,1,0
16.947240278,1,1
16.947283092,1,0
16.947321476,1,1
16.947364286,1,0
16.947409108,1,1
