Time [s],Channel 0,Channel 1
0.000000000,1,1
13.751342476,0,1
13.751354268,0,0
13.751396832,0,1
13.751420052,1,1
13.751439398,1,0
13.751480486,1,1
13.751523052,1,0
13.751564140,1,1
13.751585568,0,1
13.751605728,0,0
13.751646822,0,1
13.751688408,0,0
13.751729498,0,1
13.751752720,1,1
13.751772066,1,0
13.751813152,1,1
13.751855718,1,0
13.751896804,1,1
13.751918230,0,1
13.751938388,0,0
13.751979474,0,1
13.752021062,0,0
13.752064614,0,1
13.752087834,1,1
13.752107180,1,0
13.752145312,1,1
13.752187880,1,0
13.752232410,1,1
13.752251394,1,0
13.759297060,1,1
13.789162122,0,1
13.789173916,0,0
13.789216484,0,1
13.789239712,1,1
13.789259060,1,0
13.789300150,1,1
13.789342718,1,0
13.789383806,1,1
13.789405236,0,1
13.789425396,0,0
13.789466490,0,1
13.789489714,1,1
13.789509064,1,0
13.789550158,1,1
13.789592732,1,0
13.789633828,1,1
13.789676400,1,0
13.789717488,1,1
13.789738918,0,1
13.789759082,0,0
13.789800174,0,1
13.789841764,0,0
13.789885322,0,1
13.789926912,0,0
13.789965056,0,1
13.789988278,1,1
13.790007626,1,0
13.790052166,1,1
13.790070092,1,0
13.791297582,1,1
13.862538382,0,1
13.862550178,0,0
13.862592744,0,1
13.862634330,0,0
13.862675424,0,1
13.862717008,0,0
13.862758104,0,1
13.862799690,0,0
13.862840780,0,1
13.862882368,0,0
13.862923464,0,1
13.862946688,1,1
13.862966034,1,0
13.863007122,1,1
13.863049698,1,0
13.863090792,1,1
13.863133360,1,0
13.863174454,1,1
13.863217028,1,0
13.863260584,1,1
13.863303164,1,0
13.863341304,1,1
13.863383876,1,0
13.863428414,1,1
13.867052018,0,1
13.867063812,0,0
13.867106384,0,1
13.867129606,1,1
13.867148952,1,0
13.867190038,1,1
13.867232616,1,0
13.867273704,1,1
13.867295136,0,1
13.867315294,0,0
13.867356388,0,1
13.867379612,1,1
13.867398958,1,0
13.867440050,1,1
13.867482620,1,0
13.867523710,1,1
13.867566282,1,0
13.867607374,1,1
13.867628804,0,1
13.867648966,0,0
13.867690056,0,1
13.867731648,0,0
13.867775206,0,1
13.867816796,0,0
13.867854938,0,1
13.867878162,1,1
13.867897510,1,0
13.867942048,1,1
13.875629220,1,0
13.879296024,1,1
13.885023228,0,1
13.885035022,0,0
13.885077594,0,1
13.885119180,0,0
13.885160272,0,1
13.885201862,0,0
13.885242956,0,1
13.885284542,0,0
13.885325636,0,1
13.885367222,0,0
13.885408304,0,1
13.885431520,1,1
13.885450862,1,0
13.885491936,1,1
13.885534492,1,0
13.885575564,1,1
13.885618120,1,0
13.885659190,1,1
13.885701748,1,0
13.885745278,1,1
13.885787830,1,0
13.885825946,1,1
13.885868498,1,0
13.885913008,1,1
13.889539586,0,1
13.889551384,0,0
13.889593970,0,1
13.889617206,1,1
13.889636562,1,0
13.889677682,1,1
13.889720282,1,0
13.889761400,1,1
13.889782846,0,1
13.889803020,0,0
13.889844134,0,1
13.889885742,0,0
13.889926858,0,1
13.889950094,1,1
13.889969448,1,0
13.890010560,1,1
13.890053162,1,0
13.890094282,1,1
13.890115726,0,1
13.890135900,0,0
13.890177024,0,1
13.890218640,0,0
13.890262216,0,1
13.890285444,1,1
13.890304796,1,0
13.890342940,1,1
13.890385514,1,0
13.890430052,1,1
13.898292920,1,0
13.903297214,1,1
13.927307218,0,1
13.927319012,0,0
13.927361578,0,1
13.927384802,1,1
13.927404148,1,0
13.927445242,1,1
13.927487808,1,0
13.927528900,1,1
13.927550332,0,1
13.927570490,0,0
13.927611586,0,1
13.927653174,0,0
13.927694268,0,1
13.927717488,1,1
13.927736834,1,0
13.927777920,1,1
13.927820490,1,0
13.927861576,1,1
13.927883006,0,1
13.927903166,0,0
13.927944262,0,1
13.927985848,0,0
13.928029404,0,1
13.928052628,1,1
13.928071976,1,0
13.928110112,1,1
13.928152682,1,0
13.928197216,1,1
13.928216406,1,0
13.935297000,1,1
13.940760178,0,1
13.940771972,0,0
13.940814544,0,1
13.940837766,1,1
13.940857112,1,0
13.940898208,1,1
13.940940780,1,0
13.940981866,1,1
13.941003298,0,1
13.941023460,0,0
13.941064552,0,1
13.941087772,1,1
13.941107122,1,0
13.941148214,1,1
13.941190794,1,0
13.941231884,1,1
13.941274460,1,0
13.941315560,1,1
13.941336996,0,1
13.941357160,0,0
13.941398258,0,1
13.941439846,0,0
13.941483398,0,1
13.941524986,0,0
13.941563132,0,1
13.941586358,1,1
13.941605704,1,0
13.941650244,1,1
13.941668392,1,0
13.943297566,1,1
14.011973296,0,1
14.011985088,0,0
14.012027656,0,1
14.012069246,0,0
14.012110342,0,1
14.012151930,0,0
14.012193032,0,1
14.012234624,0,0
14.012275722,0,1
14.012317318,0,0
14.012358416,0,1
14.012381642,1,1
14.012400988,1,0
14.012442084,1,1
14.012484660,1,0
14.012525752,1,1
14.012568326,1,0
14.012609418,1,1
14.012651986,1,0
14.012695536,1,1
14.012738114,1,0
14.012776252,1,1
14.012818828,1,0
14.012863366,1,1
14.016487224,0,1
14.016499020,0,0
14.016541594,0,1
14.016564828,1,1
14.016584178,1,0
14.016625272,1,1
14.016667852,1,0
14.016708944,1,1
14.016730376,0,1
14.016750536,0,0
14.016791636,0,1
14.016814860,1,1
14.016834208,1,0
14.016875302,1,1
14.016917880,1,0
14.016958970,1,1
14.017001542,1,0
14.017042632,1,1
14.017064064,0,1
14.017084226,0,0
14.017125322,0,1
14.017166912,0,0
14.017210468,0,1
14.017252056,0,0
14.017290202,0,1
14.017313430,1,1
14.017332778,1,0
14.017377316,1,1
14.024998318,1,0
14.031296730,1,1
14.044753648,0,1
14.044765442,0,0
14.044808008,0,1
14.044849594,0,0
14.044890688,0,1
14.044932274,0,0
14.044973370,0,1
14.045014960,0,0
14.045056056,0,1
14.045097650,0,0
14.045138746,0,1
14.045161968,1,1
14.045181316,1,0
14.045222412,1,1
14.045264982,1,0
14.045306068,1,1
14.045348642,1,0
14.045389736,1,1
14.045432308,1,0
14.045475858,1,1
14.045518430,1,0
14.045556570,1,1
14.045599144,1,0
14.045643676,1,1
14.049270366,0,1
14.049282162,0,0
14.049324730,0,1
14.049347954,1,1
14.049367298,1,0
14.049408386,1,1
14.049450962,1,0
14.049492050,1,1
14.049513480,0,1
14.049533642,0,0
14.049574738,0,1
14.049616330,0,0
14.049657430,0,1
14.049680652,1,1
14.049700000,1,0
14.049741088,1,1
14.049783662,1,0
14.049824756,1,1
14.049846186,0,1
14.049866346,0,0
14.049907438,0,1
14.049949026,0,0
14.049992578,0,1
14.050015798,1,1
14.050035146,1,0
14.050073286,1,1
14.050115866,1,0
14.050160400,1,1
14.057960322,1,0
14.063290898,1,1
14.084293912,0,1
14.084305710,0,0
14.084348286,0,1
14.084371514,1,1
14.084390864,1,0
14.084431968,1,1
14.084474554,1,0
14.084515658,1,1
14.084537098,0,1
14.084557268,0,0
14.084598374,0,1
14.084639970,0,0
14.084681076,0,1
14.084704306,1,1
14.084723658,1,0
14.084764758,1,1
14.084807338,1,0
14.084848438,1,1
14.084869874,0,1
14.084890040,0,0
14.084931148,0,1
14.084972748,0,0
14.085016314,0,1
14.085039542,1,1
14.085058896,1,0
14.085097046,1,1
14.085139624,1,0
14.085184168,1,1
14.085202532,1,0
14.087295500,1,1
14.108590140,0,1
14.108601934,0,0
14.108644500,0,1
14.108667726,1,1
14.108687072,1,0
14.108728160,1,1
14.108770734,1,0
14.108811826,1,1
14.108833256,0,1
14.108853414,0,0
14.108894504,0,1
14.108917728,1,1
14.108937072,1,0
14.108978160,1,1
14.109020730,1,0
14.109061824,1,1
14.109104396,1,0
14.109145488,1,1
14.109166920,0,1
14.109187082,0,0
14.109228178,0,1
14.109269768,0,0
14.109313326,0,1
14.109354916,0,0
14.109393054,0,1
14.109416280,1,1
14.109435628,1,0
14.109480164,1,1
14.109497546,1,0
14.111295456,1,1
14.166499912,0,1
14.166511704,0,0
14.166554276,0,1
14.166595866,0,0
14.166636958,0,1
14.166678546,0,0
14.166719644,0,1
14.166761230,0,0
14.166802322,0,1
14.166843912,0,0
14.166885008,0,1
14.166908228,1,1
14.166927574,1,0
14.166968664,1,1
14.167011240,1,0
14.167052324,1,1
14.167094896,1,0
14.167135982,1,1
14.167178552,1,0
14.167222102,1,1
14.167264682,1,0
14.167302822,1,1
14.167345394,1,0
14.167389928,1,1
14.171013468,0,1
14.171025260,0,0
14.171067828,0,1
14.171091046,1,1
14.171110394,1,0
14.171151482,1,1
14.171194060,1,0
14.171235150,1,1
14.171256580,0,1
14.171276738,0,0
14.171317830,0,1
14.171341054,1,1
14.171360400,1,0
14.171401486,1,1
14.171444060,1,0
14.171485148,1,1
14.171527718,1,0
14.171568810,1,1
14.171590242,0,1
14.171610404,0,0
14.171651496,0,1
14.171693088,0,0
14.171736642,0,1
14.171778230,0,0
14.171816370,0,1
14.171839594,1,1
14.171858940,1,0
14.171903472,1,1
14.179528564,1,0
14.183295834,1,1
14.204676498,0,1
14.204688292,0,0
14.204730864,0,1
14.204772452,0,0
14.204813544,0,1
14.204855132,0,0
14.204896226,0,1
14.204937810,0,0
14.204978904,0,1
14.205020494,0,0
14.205061586,0,1
14.205084810,1,1
14.205104158,1,0
14.205145248,1,1
14.205187820,1,0
14.205228910,1,1
14.205271484,1,0
14.205312572,1,1
14.205312576,1,0
14.205312578,1,1
14.205355146,1,0
14.205398696,1,1
14.205441268,1,0
14.205479404,1,1
14.205521974,1,0
14.205566512,1,1
14.209193184,0,1
14.209204980,0,0
14.209247548,0,1
14.209270770,1,1
14.209290114,1,0
14.209331204,1,1
14.209373776,1,0
14.209414866,1,1
14.209436300,0,1
14.209456462,0,0
14.209497558,0,1
14.209539146,0,0
14.209580244,0,1
14.209603466,1,1
14.209622814,1,0
14.209663900,1,1
14.209706476,1,0
14.209747568,1,1
14.209768998,0,1
14.209789158,0,0
14.209830250,0,1
14.209871840,0,0
14.209915396,0,1
14.209938618,1,1
14.209957964,1,0
14.209996106,1,1
14.210038678,1,0
14.210083214,1,1
14.217650736,1,0
14.223296866,1,1
14.230898832,0,1
14.230910626,0,0
14.230953200,0,1
14.230976426,1,1
14.230995774,1,0
14.231036866,1,1
14.231079444,1,0
14.231120538,1,1
14.231141972,0,1
14.231162134,0,0
14.231203232,0,1
14.231244826,0,0
14.231285928,0,1
14.231309152,1,1
14.231328502,1,0
14.231369598,1,1
14.231412172,1,0
14.231453266,1,1
14.231474700,0,1
14.231494866,0,0
14.231535966,0,1
14.231577558,0,0
14.231621120,0,1
14.231644346,1,1
14.231663694,1,0
14.231701832,1,1
14.231744410,1,0
14.231788948,1,1
14.231806532,1,0
14.239295776,1,1
14.260605766,0,1
14.260617558,0,0
14.260660126,0,1
14.260683346,1,1
14.260702692,1,0
14.260743786,1,1
14.260786358,1,0
14.260827450,1,1
14.260848882,0,1
14.260869044,0,0
14.260910140,0,1
14.260933366,1,1
14.260952712,1,0
14.260993808,1,1
14.261036384,1,0
14.261077478,1,1
14.261120050,1,0
14.261161144,1,1
14.261182574,0,1
14.261202736,0,0
14.261243834,0,1
14.261285424,0,0
14.261328976,0,1
14.261370572,0,0
14.261408716,0,1
14.261431940,1,1
14.261451288,1,0
14.261495826,1,1
14.261514182,1,0
14.263295620,1,1
14.326500870,0,1
14.326512662,0,0
14.326555240,0,1
14.326596838,0,0
14.326637936,0,1
14.326679526,0,0
14.326720620,0,1
14.326762210,0,0
14.326803308,0,1
14.326844896,0,0
14.326885990,0,1
14.326909212,1,1
14.326928560,1,0
14.326969652,1,1
14.327012236,1,0
14.327053350,1,1
14.327095936,1,0
14.327137034,1,1
14.327179614,1,0
14.327223174,1,1
14.327265754,1,0
14.327303900,1,1
14.327346476,1,0
14.327391012,1,1
14.331014856,0,1
14.331026650,0,0
14.331069222,0,1
14.331092446,1,1
14.331111794,1,0
14.331152888,1,1
14.331195464,1,0
14.331236560,1,1
14.331257992,0,1
14.331278154,0,0
14.331319248,0,1
14.331342474,1,1
14.331361824,1,0
14.331402914,1,1
14.331445490,1,0
14.331486586,1,1
14.331529160,1,0
14.331570252,1,1
14.331591686,0,1
14.331611850,0,0
14.331652946,0,1
14.331694536,0,0
14.331738094,0,1
14.331779686,0,0
14.331817828,0,1
14.331841052,1,1
14.331860398,1,0
14.331904938,1,1
14.339219030,1,0
14.343295452,1,1
14.359281980,0,1
14.359293776,0,0
14.359336344,0,1
14.359377936,0,0
14.359419032,0,1
14.359460622,0,0
14.359501718,0,1
14.359543314,0,0
14.359584408,0,1
14.359626002,0,0
14.359667098,0,1
14.359690326,1,1
14.359709674,1,0
14.359750764,1,1
14.359793338,1,0
14.359834430,1,1
14.359877002,1,0
14.359918094,1,1
14.359960668,1,0
14.360004218,1,1
14.360046790,1,0
14.360084930,1,1
14.360127502,1,0
14.360172036,1,1
14.363798834,0,1
14.363810628,0,0
14.363853202,0,1
14.363876426,1,1
14.363895774,1,0
14.363936864,1,1
14.363979440,1,0
14.364020534,1,1
14.364041966,0,1
14.364062128,0,0
14.364103226,0,1
14.364144820,0,0
14.364185916,0,1
14.364209140,1,1
14.364228488,1,0
14.364269584,1,1
14.364312160,1,0
14.364353250,1,1
14.364374684,0,1
14.364394850,0,0
14.364435944,0,1
14.364477536,0,0
14.364521098,0,1
14.364544326,1,1
14.364563674,1,0
14.364601810,1,1
14.364644390,1,0
14.364688926,1,1
14.372185360,1,0
14.375296560,1,1
14.414879148,0,1
14.414890942,0,0
14.414933514,0,1
14.414956738,1,1
14.414976086,1,0
14.415017178,1,1
14.415059754,1,0
14.415100850,1,1
14.415122280,0,1
14.415142442,0,0
14.415183536,0,1
14.415225130,0,0
14.415266230,0,1
14.415289456,1,1
14.415308804,1,0
14.415349898,1,1
14.415392474,1,0
14.415433566,1,1
14.415455000,0,1
14.415475162,0,0
14.415516256,0,1
14.415557848,0,0
14.415601404,0,1
14.415624628,1,1
14.415643974,1,0
14.415682114,1,1
14.415724690,1,0
14.415769226,1,1
14.415788390,1,0
14.423295070,1,1
14.430989566,0,1
14.431001360,0,0
14.431043934,0,1
14.431067162,1,1
14.431086510,1,0
14.431127602,1,1
14.431170178,1,0
14.431211274,1,1
14.431232712,0,1
14.431252878,0,0
14.431293982,0,1
14.431317208,1,1
14.431336558,1,0
14.431377656,1,1
14.431420234,1,0
14.431461330,1,1
14.431503910,1,0
14.431545008,1,1
14.431566442,0,1
14.431586606,0,0
14.431627708,0,1
14.431669300,0,0
14.431712862,0,1
14.431754454,0,0
14.431792600,0,1
14.431815826,1,1
14.431835176,1,0
14.431879718,1,1
14.431898356,1,0
14.439295346,1,1
14.499549954,0,1
14.499561748,0,0
14.499604316,0,1
14.499645904,0,0
14.499686998,0,1
14.499728586,0,0
14.499769686,0,1
14.499811272,0,0
14.499852368,0,1
14.499893954,0,0
14.499935048,0,1
14.499958270,1,1
14.499977618,1,0
14.500018706,1,1
14.500061284,1,0
14.500102374,1,1
14.500144942,1,0
14.500186032,1,1
14.500228604,1,0
14.500272158,1,1
14.500314730,1,0
14.500352866,1,1
14.500395438,1,0
14.500439976,1,1
14.504063660,0,1
14.504075454,0,0
14.504118026,0,1
14.504141248,1,1
14.504160594,1,0
14.504201686,1,1
14.504244260,1,0
14.504285350,1,1
14.504306782,0,1
14.504326944,0,0
14.504368038,0,1
14.504391262,1,1
14.504410606,1,0
14.504451696,1,1
14.504494270,1,0
14.504535364,1,1
14.504577936,1,0
14.504619026,1,1
14.504640458,0,1
14.504660620,0,0
14.504701710,0,1
14.504743302,0,0
14.504786858,0,1
14.504828446,0,0
14.504866586,0,1
14.504889810,1,1
14.504909158,1,0
14.504953692,1,1
14.512303602,1,0
14.519294468,1,1
14.532331060,0,1
14.532342854,0,0
14.532385420,0,1
14.532427010,0,0
14.532468102,0,1
14.532509690,0,0
14.532550790,0,1
14.532592378,0,0
14.532633474,0,1
14.532675066,0,0
14.532716164,0,1
14.532739384,1,1
14.532758730,1,0
14.532799822,1,1
14.532842392,1,0
14.532883480,1,1
14.532926052,1,0
14.532967144,1,1
14.533009712,1,0
14.533053256,1,1
14.533095828,1,0
14.533133960,1,1
14.533176532,1,0
14.533221066,1,1
14.536847712,0,1
14.536859506,0,0
14.536902068,0,1
14.536925292,1,1
14.536944640,1,0
14.536985730,1,1
14.537028306,1,0
14.537069394,1,1
14.537090822,0,1
14.537110982,0,0
14.537152074,0,1
14.537193664,0,0
14.537234756,0,1
14.537257984,1,1
14.537277332,1,0
14.537318424,1,1
14.537360998,1,0
14.537402090,1,1
14.537423520,0,1
14.537443680,0,0
14.537484774,0,1
14.537526366,0,0
14.537569928,0,1
14.537593148,1,1
14.537612496,1,0
14.537650634,1,1
14.537693206,1,0
14.537737738,1,1
14.545266918,1,0
14.551295352,1,1
14.577202324,0,1
14.577214120,0,0
14.577256692,0,1
14.577279916,1,1
14.577299264,1,0
14.577340360,1,1
14.577382936,1,0
14.577424026,1,1
14.577445458,0,1
14.577465622,0,0
14.577506716,0,1
14.577548314,0,0
14.577589412,0,1
14.577612638,1,1
14.577631988,1,0
14.577673086,1,1
14.577715660,1,0
14.577756756,1,1
14.577778188,0,1
14.577798350,0,0
14.577839446,0,1
14.577881040,0,0
14.577924598,0,1
14.577947824,1,1
14.577967172,1,0
14.578005316,1,1
14.578047892,1,0
14.578092426,1,1
14.578110744,1,0
14.583294396,1,1
14.604205840,0,1
14.604217634,0,0
14.604260208,0,1
14.604283434,1,1
14.604302780,1,0
14.604343876,1,1
14.604386452,1,0
14.604427544,1,1
14.604448978,0,1
14.604469142,0,0
14.604510240,0,1
14.604533466,1,1
14.604552816,1,0
14.604593912,1,1
14.604636490,1,0
14.604677586,1,1
14.604720160,1,0
14.604761252,1,1
14.604782686,0,1
14.604802846,0,0
14.604843944,0,1
14.604885534,0,0
14.604929096,0,1
14.604970688,0,0
14.605008834,0,1
14.605032058,1,1
14.605051408,1,0
14.605095948,1,1
14.605115096,1,0
14.607294850,1,1
14.661992332,0,1
14.662004126,0,0
14.662046694,0,1
14.662088282,0,0
14.662129378,0,1
14.662170968,0,0
14.662212068,0,1
14.662253656,0,0
14.662294750,0,1
14.662336342,0,0
14.662377436,0,1
14.662400660,1,1
14.662420006,1,0
14.662461098,1,1
14.662503672,1,0
14.662544766,1,1
14.662587342,1,0
14.662628436,1,1
14.662671008,1,0
14.662714558,1,1
14.662757130,1,0
14.662795264,1,1
14.662837836,1,0
14.662882370,1,1
14.666506264,0,1
14.666518058,0,0
14.666560640,0,1
14.666583872,1,1
14.666603220,1,0
14.666644322,1,1
14.666686898,1,0
14.666727990,1,1
14.666749424,0,1
14.666769586,0,0
14.666810682,0,1
14.666833906,1,1
14.666853252,1,0
14.666894346,1,1
14.666936918,1,0
14.666978008,1,1
14.667020584,1,0
14.667061680,1,1
14.667083110,0,1
14.667103272,0,0
14.667144370,0,1
14.667185962,0,0
14.667229524,0,1
14.667271110,0,0
14.667309256,0,1
14.667332480,1,1
14.667351826,1,0
14.667396358,1,1
14.675101950,1,0
14.679295508,1,1
14.692199496,0,1
14.692211290,0,0
14.692253858,0,1
14.692295446,0,0
14.692336542,0,1
14.692378124,0,0
14.692419214,0,1
14.692460798,0,0
14.692501888,0,1
14.692543478,0,0
14.692584572,0,1
14.692607794,1,1
14.692627140,1,0
14.692668230,1,1
14.692710804,1,0
14.692751892,1,1
14.692794458,1,0
14.692835546,1,1
14.692878112,1,0
14.692921656,1,1
14.692964222,1,0
14.693002356,1,1
14.693044920,1,0
14.693089446,1,1
14.696716488,0,1
14.696728282,0,0
14.696770858,0,1
14.696794086,1,1
14.696813438,1,0
14.696854540,1,1
14.696897116,1,0
14.696938208,1,1
14.696959636,0,1
14.696979794,0,0
14.697020886,0,1
14.697062474,0,0
14.697103566,0,1
14.697126788,1,1
14.697146134,1,0
14.697187226,1,1
14.697229800,1,0
14.697270890,1,1
14.697292320,0,1
14.697312482,0,0
14.697353576,0,1
14.697395168,0,0
14.697438748,0,1
14.697461986,1,1
14.697481344,1,0
14.697519494,1,1
14.697562080,1,0
14.697606622,1,1
14.704982316,1,0
14.711294564,1,1
14.755787068,0,1
14.755798862,0,0
14.755841430,0,1
14.755864652,1,1
14.755883998,1,0
14.755925090,1,1
14.755967662,1,0
14.756008754,1,1
14.756030186,0,1
14.756050346,0,0
14.756091440,0,1
14.756133026,0,0
14.756174120,0,1
14.756197344,1,1
14.756216690,1,0
14.756257778,1,1
14.756300352,1,0
14.756341440,1,1
14.756362868,0,1
14.756383026,0,0
14.756424120,0,1
14.756465706,0,0
14.756509258,0,1
14.756532482,1,1
14.756551834,1,0
14.756589978,1,1
14.756632550,1,0
14.756677088,1,1
14.756695270,1,0
14.759294398,1,1
14.771895324,0,1
14.771907118,0,0
14.771949686,0,1
14.771972908,1,1
14.771992254,1,0
14.772033344,1,1
14.772075918,1,0
14.772117010,1,1
14.772138442,0,1
14.772158608,0,0
14.772199706,0,1
14.772222928,1,1
14.772242278,1,0
14.772283374,1,1
14.772325954,1,0
14.772367048,1,1
14.772409626,1,0
14.772450722,1,1
14.772472156,0,1
14.772492318,0,0
14.772533416,0,1
14.772575014,0,0
14.772618574,0,1
14.772660168,0,0
14.772698314,0,1
14.772721540,1,1
14.772740886,1,0
14.772785424,1,1
14.772803324,1,0
14.775293724,1,1
14.840325560,0,1
14.840337354,0,0
14.840379922,0,1
14.840421506,0,0
14.840462600,0,1
14.840504186,0,0
14.840545280,0,1
14.840586872,0,0
14.840627964,0,1
14.840669552,0,0
14.840710650,0,1
14.840733872,1,1
14.840753220,1,0
14.840794312,1,1
14.840836884,1,0
14.840877976,1,1
14.840920546,1,0
14.840961632,1,1
14.841004206,1,0
14.841047754,1,1
14.841090326,1,0
14.841128464,1,1
14.841171034,1,0
14.841215570,1,1
14.844839128,0,1
14.844850920,0,0
14.844893488,0,1
14.844916710,1,1
14.844936056,1,0
14.844977146,1,1
14.845019718,1,0
14.845060810,1,1
14.845082242,0,1
14.845102402,0,0
14.845143498,0,1
14.845166722,1,1
14.845186068,1,0
14.845227160,1,1
14.845269734,1,0
14.845310826,1,1
14.845353396,1,0
14.845394486,1,1
14.845415920,0,1
14.845436082,0,0
14.845477178,0,1
14.845518764,0,0
14.845562324,0,1
14.845603912,0,0
14.845642056,0,1
14.845665278,1,1
14.845684628,1,0
14.845729162,1,1
14.853361144,1,0
14.855294206,1,1
14.870531658,0,1
14.870543454,0,0
14.870586030,0,1
14.870627620,0,0
14.870668708,0,1
14.870710298,0,0
14.870751394,0,1
14.870792980,0,0
14.870834076,0,1
14.870875676,0,0
14.870916780,0,1
14.870940004,1,1
14.870959354,1,0
14.871000446,1,1
14.871043016,1,0
14.871084106,1,1
14.871126680,1,0
14.871167768,1,1
14.871210342,1,0
14.871253898,1,1
14.871296476,1,0
14.871334614,1,1
14.871377190,1,0
14.871421722,1,1
14.875048312,0,1
14.875060106,0,0
14.875102672,0,1
14.875125892,1,1
14.875145236,1,0
14.875186326,1,1
14.875228900,1,0
14.875269986,1,1
14.875291420,0,1
14.875311580,0,0
14.875352674,0,1
14.875394262,0,0
14.875435358,0,1
14.875458584,1,1
14.875477930,1,0
14.875519020,1,1
14.875561600,1,0
14.875602692,1,1
14.875624122,0,1
14.875644282,0,0
14.875685380,0,1
14.875726966,0,0
14.875770518,0,1
14.875793740,1,1
14.875813086,1,0
14.875851222,1,1
14.875893794,1,0
14.875938332,1,1
14.883241988,1,0
14.887294552,1,1
14.894088960,0,1
14.894100754,0,0
14.894143318,0,1
14.894166542,1,1
14.894185890,1,0
14.894226978,1,1
14.894269550,1,0
14.894310638,1,1
14.894332070,0,1
14.894352230,0,0
14.894393320,0,1
14.894434910,0,0
14.894476006,0,1
14.894499226,1,1
14.894518572,1,0
14.894559674,1,1
14.894602268,1,0
14.894643382,1,1
14.894664824,0,1
14.894685000,0,0
14.894726126,0,1
14.894767744,0,0
14.894811328,0,1
14.894834564,1,1
14.894853920,1,0
14.894892076,1,1
14.894934672,1,0
14.894979232,1,1
14.894997154,1,0
14.895296946,1,1
14.940023058,0,1
14.940034846,0,0
14.940077392,0,1
14.940100600,1,1
14.940119938,1,0
14.940161006,1,1
14.940203562,1,0
14.940244630,1,1
14.940266050,0,1
14.940286200,0,0
14.940327274,0,1
14.940350484,1,1
14.940369822,1,0
14.940410888,1,1
14.940453438,1,0
14.940494504,1,1
14.940537056,1,0
