Time [s],Channel 0,Channel 1
0.000000000,1,1
29.608416196,0,1
29.608427990,0,0
29.608470554,0,1
29.608512128,0,0
29.608553214,0,1
29.608594808,0,0
29.608635906,0,1
29.608659122,1,1
29.608678466,1,0
29.608719554,1,1
29.608762126,1,0
29.608803218,1,1
29.608845790,1,0
29.608886882,1,1
29.608929454,1,0
29.608970546,1,1
29.608991978,0,1
29.609012140,0,0
29.609053234,0,1
29.609094830,0,0
29.609138394,0,1
29.609161618,1,1
29.609180966,1,0
29.609219108,1,1
29.609261688,1,0
29.609306230,1,1
29.609324664,1,0
29.610421780,1,1
29.630444974,0,1
29.630456770,0,0
29.630499340,0,1
29.630522564,1,1
29.630541914,1,0
29.630583010,1,1
29.630625592,1,0
29.630666686,1,1
29.630688120,0,1
29.630708284,0,0
29.630749382,0,1
29.630790978,0,0
29.630832078,0,1
29.630873674,0,0
29.630914772,0,1
29.630956366,0,0
29.630997464,0,1
29.631020692,1,1
29.631040040,1,0
29.631081136,1,1
29.631102568,0,1
29.631122734,0,0
29.631166294,0,1
29.631207886,0,0
29.631246030,0,1
29.631269256,1,1
29.631288604,1,0
29.631333138,1,1
29.631351484,1,0
29.634421924,1,1
29.732427144,0,1
29.732438940,0,0
29.732481510,0,1
29.732523102,0,0
29.732564202,0,1
29.732605798,0,0
29.732646904,0,1
29.732688500,0,0
29.732729604,0,1
29.732771200,0,0
29.732812302,0,1
29.732835528,1,1
29.732854878,1,0
29.732895974,1,1
29.732938552,1,0
29.732979646,1,1
29.733022226,1,0
29.733063324,1,1
29.733105906,1,0
29.733149462,1,1
29.733192040,1,0
29.733230180,1,1
29.733272756,1,0
29.733317288,1,1
29.736945158,0,1
29.736956952,0,0
29.736999518,0,1
29.737022740,1,1
29.737042086,1,0
29.737083178,1,1
29.737125750,1,0
29.737166840,1,1
29.737188274,0,1
29.737208436,0,0
29.737249536,0,1
29.737291130,0,0
29.737332232,0,1
29.737373822,0,0
29.737414920,0,1
29.737456516,0,0
29.737497612,0,1
29.737520840,1,1
29.737540188,1,0
29.737581284,1,1
29.737602716,0,1
29.737622878,0,0
29.737666432,0,1
29.737708026,0,0
29.737746172,0,1
29.737769396,1,1
29.737788744,1,0
29.737833284,1,1
29.744613406,0,1
29.744625202,0,0
29.744667772,0,1
29.744709360,0,0
29.744750454,0,1
29.744792044,0,0
29.744833140,0,1
29.744874730,0,0
29.744915828,0,1
29.744957420,0,0
29.744998518,0,1
29.745021744,1,1
29.745041092,1,0
29.745082186,1,1
29.745124760,1,0
29.745165852,1,1
29.745208422,1,0
29.745249512,1,1
29.745292086,1,0
29.745335636,1,1
29.745378208,1,0
29.745416344,1,1
29.745458922,1,0
29.745503460,1,1
29.749130324,0,1
29.749142120,0,0
29.749184692,0,1
29.749226284,0,0
29.749267380,0,1
29.749308970,0,0
29.749350070,0,1
29.749373296,1,1
29.749392644,1,0
29.749433740,1,1
29.749476318,1,0
29.749517416,1,1
29.749559990,1,0
29.749601088,1,1
29.749643662,1,0
29.749684752,1,1
