Time [s],Channel 0,Channel 1
0.000000000,1,1
58.309633986,0,1
58.309645784,0,0
58.309688368,0,1
58.309711592,1,1
58.309730948,1,0
58.309772052,1,1
58.309814640,1,0
58.309855746,1,1
58.309877186,0,1
58.309897356,0,0
58.309938474,0,1
58.309980080,0,0
58.310021192,0,1
58.310044420,1,1
58.310063778,1,0
58.310104888,1,1
58.310147474,1,0
58.310188584,1,1
58.310210024,0,1
58.310230192,0,0
58.310271300,0,1
58.310312900,0,0
58.310356476,0,1
58.310379706,1,1
58.310399060,1,0
58.310437210,1,1
58.310479800,1,0
58.310524356,1,1
58.310542970,1,0
58.317961228,1,1
58.413728774,0,1
58.413740570,0,0
58.413783150,0,1
58.413824746,0,0
58.413865850,0,1
58.413907460,0,0
58.413948570,0,1
58.413990172,0,0
58.414031280,0,1
58.414072882,0,0
58.414113986,0,1
58.414137216,1,1
58.414156570,1,0
58.414197674,1,1
58.414240252,1,0
58.414281352,1,1
58.414323936,1,0
58.414365036,1,1
58.414407624,1,0
58.414451186,1,1
58.414493768,1,0
58.414531918,1,1
58.414574502,1,0
58.414619046,1,1
58.418246594,0,1
58.418258392,0,0
58.418300972,0,1
58.418324196,1,1
58.418343552,1,0
58.418384656,1,1
58.418427242,1,0
58.418468346,1,1
58.418489784,0,1
58.418509952,0,0
58.418551060,0,1
58.418592662,0,0
58.418633770,0,1
58.418657000,1,1
58.418676356,1,0
58.418717462,1,1
58.418760050,1,0
58.418801152,1,1
58.418822592,0,1
58.418842760,0,0
58.418883870,0,1
58.418925472,0,0
58.418969044,0,1
58.418992272,1,1
58.419011630,1,0
58.419049782,1,1
58.419092368,1,0
58.419136916,1,1
58.426986720,1,0
58.429961612,1,1
58.549332258,0,1
58.549344054,0,0
58.549386640,0,1
58.549409868,1,1
58.549429222,1,0
58.549470328,1,1
58.549512914,1,0
58.549554022,1,1
58.549575462,0,1
58.549595630,0,0
58.549636740,0,1
58.549678332,0,0
58.549719428,0,1
