Time [s],Channel 0,Channel 1
0.000000000,1,1
18.110075170,0,1
18.110086962,0,0
18.110129526,0,1
18.110171114,0,0
18.110212210,0,1
18.110253794,0,0
18.110294894,0,1
18.110318118,1,1
18.110337470,1,0
18.110378568,1,1
18.110400002,0,1
18.110420164,0,0
18.110461258,0,1
18.110484480,1,1
18.110503824,1,0
18.110544916,1,1
18.110587488,1,0
18.110628578,1,1
18.110650008,0,1
18.110670170,0,0
18.110711262,0,1
18.110752846,0,0
18.110796396,0,1
18.110837984,0,0
18.110876122,0,1
18.110899344,1,1
18.110918688,1,0
18.110963218,1,1
18.111014108,1,0
18.118626624,1,1
18.123778612,0,1
18.123790408,0,0
18.123832980,0,1
18.123856200,1,1
18.123875546,1,0
18.123916642,1,1
18.123959218,1,0
18.124000306,1,1
18.124021740,0,1
18.124041904,0,0
18.124083000,0,1
18.124124588,0,0
18.124165686,0,1
18.124188916,1,1
18.124208264,1,0
18.124249360,1,1
18.124291934,1,0
18.124333028,1,1
18.124354458,0,1
18.124374618,0,0
18.124415716,0,1
18.124457308,0,0
18.124500864,0,1
18.124524088,1,1
18.124543436,1,0
18.124581582,1,1
18.124624158,1,0
18.124668696,1,1
18.124687562,1,0
18.126624430,1,1
18.188205760,0,1
18.188217554,0,0
18.188260124,0,1
18.188301712,0,0
18.188342808,0,1
18.188384396,0,0
18.188425494,0,1
18.188467084,0,0
18.188508178,0,1
18.188549768,0,0
18.188590864,0,1
18.188614086,1,1
18.188633430,1,0
18.188674518,1,1
18.188717092,1,0
18.188758182,1,1
18.188800754,1,0
18.188841840,1,1
18.188841844,1,0
18.188841848,1,1
18.188884410,1,0
18.188927958,1,1
18.188970534,1,0
18.189008666,1,1
18.189051240,1,0
18.189095774,1,1
18.192722188,0,1
18.192733982,0,0
18.192776548,0,1
18.192799766,1,1
18.192819112,1,0
18.192860196,1,1
18.192902766,1,0
18.192943852,1,1
18.192965282,0,1
18.192985444,0,0
18.193026538,0,1
18.193068126,0,0
18.193109218,0,1
18.193132438,1,1
18.193151786,1,0
18.193192878,1,1
18.193235450,1,0
18.193276536,1,1
18.193297968,0,1
18.193318128,0,0
18.193359220,0,1
18.193400806,0,0
18.193444360,0,1
18.193467578,1,1
18.193486926,1,0
18.193525066,1,1
18.193567636,1,0
18.193612168,1,1
18.201641532,1,0
18.206624746,1,1
18.231781878,0,1
18.231793674,0,0
18.231836248,0,1
18.231877836,0,0
18.231918934,0,1
18.231960528,0,0
18.232001624,0,1
18.232043216,0,0
18.232084312,0,1
18.232125902,0,0
18.232167002,0,1
18.232190228,1,1
18.232209576,1,0
18.232250666,1,1
18.232293242,1,0
18.232334336,1,1
18.232376910,1,0
18.232417998,1,1
18.232418004,1,0
18.232418006,1,1
18.232460580,1,0
18.232504134,1,1
18.232546710,1,0
18.232584852,1,1
18.232627428,1,0
18.232671962,1,1
18.236299700,0,1
18.236311494,0,0
18.236354060,0,1
18.236395650,0,0
18.236436744,0,1
18.236478334,0,0
18.236519434,0,1
18.236542660,1,1
18.236562008,1,0
18.236603100,1,1
18.236624532,0,1
18.236644692,0,0
18.236685786,0,1
18.236709010,1,1
18.236728356,1,0
18.236769446,1,1
18.236812022,1,0
18.236853112,1,1
18.236874548,0,1
18.236894710,0,0
18.236935806,0,1
18.236977392,0,0
18.237020950,0,1
18.237062542,0,0
18.237100682,0,1
18.237123904,1,1
18.237143248,1,0
18.237187796,1,1
18.244831646,1,0
18.246624414,1,1
18.359222218,0,1
18.359234012,0,0
18.359276578,0,1
18.359318168,0,0
18.359359262,0,1
18.359400848,0,0
18.359441938,0,1
18.359465158,1,1
18.359484504,1,0
18.359525590,1,1
18.359547020,0,1
18.359567180,0,0
18.359608276,0,1
18.359631496,1,1
18.359650840,1,0
18.359691924,1,1
18.359734498,1,0
18.359775588,1,1
18.359797014,0,1
18.359817174,0,0
18.359858270,0,1
18.359899860,0,0
18.359943416,0,1
18.359985008,0,0
18.360023154,0,1
18.360046380,1,1
18.360065728,1,0
18.360110266,1,1
18.360128026,1,0
18.366624432,1,1
18.378544406,0,1
18.378556200,0,0
18.378598770,0,1
18.378621992,1,1
18.378641340,1,0
18.378682428,1,1
18.378725006,1,0
18.378766098,1,1
18.378787528,0,1
18.378807688,0,0
18.378848786,0,1
18.378890378,0,0
18.378931474,0,1
18.378954698,1,1
18.378974046,1,0
18.379015140,1,1
18.379057716,1,0
18.379098806,1,1
18.379120238,0,1
18.379140398,0,0
18.379181498,0,1
18.379223088,0,0
18.379266648,0,1
18.379289872,1,1
18.379309220,1,0
18.379347360,1,1
18.379389944,1,0
18.379434506,1,1
18.379452554,1,0
18.382623628,1,1
18.415196158,0,1
18.415207954,0,0
18.415250520,0,1
18.415292106,0,0
18.415333202,0,1
18.415374790,0,0
18.415415886,0,1
18.415457478,0,0
18.415498572,0,1
18.415540162,0,0
18.415581258,0,1
18.415604482,1,1
18.415623828,1,0
18.415664916,1,1
18.415707486,1,0
18.415748576,1,1
18.415791146,1,0
18.415832234,1,1
18.415874806,1,0
18.415918354,1,1
18.415960926,1,0
18.415999064,1,1
18.416041634,1,0
18.416086168,1,1
18.419712540,0,1
18.419724334,0,0
18.419766900,0,1
18.419790122,1,1
18.419809470,1,0
18.419850554,1,1
18.419893124,1,0
18.419934208,1,1
18.419955636,0,1
18.419975796,0,0
18.420016890,0,1
18.420058474,0,0
18.420099566,0,1
18.420122790,1,1
18.420142136,1,0
18.420183230,1,1
18.420225802,1,0
18.420266888,1,1
18.420288322,0,1
18.420308482,0,0
18.420349574,0,1
18.420391162,0,0
18.420434716,0,1
18.420457938,1,1
18.420477284,1,0
18.420515418,1,1
18.420557988,1,0
18.420602520,1,1
18.427900554,1,0
18.430633120,1,1
18.442831774,0,1
18.442843568,0,0
18.442886136,0,1
18.442927724,0,0
18.442968820,0,1
18.443010408,0,0
18.443051502,0,1
18.443093096,0,0
18.443134192,0,1
18.443175786,0,0
18.443216884,0,1
18.443240108,1,1
18.443259456,1,0
18.443300548,1,1
18.443343122,1,0
18.443384210,1,1
18.443426784,1,0
18.443467878,1,1
18.443510452,1,0
18.443554000,1,1
18.443596578,1,0
18.443634716,1,1
18.443677288,1,0
18.443721822,1,1
18.447349590,0,1
18.447361384,0,0
18.447403954,0,1
18.447445546,0,0
18.447486642,0,1
18.447528232,0,0
18.447569330,0,1
18.447592552,1,1
18.447611898,1,0
18.447652988,1,1
18.447674424,0,1
18.447694586,0,0
18.447735680,0,1
18.447758902,1,1
18.447778252,1,0
18.447819346,1,1
18.447861920,1,0
18.447903006,1,1
18.447924434,0,1
18.447944588,0,0
18.447985668,0,1
18.448027242,0,0
18.448070782,0,1
18.448112354,0,0
18.448150480,0,1
18.448173696,1,1
18.448193036,1,0
18.448237554,1,1
18.455667626,1,0
18.462624174,1,1
18.551629698,0,1
18.551641492,0,0
18.551684058,0,1
18.551707282,1,1
18.551726628,1,0
18.551767718,1,1
18.551810290,1,0
18.551851382,1,1
18.551872812,0,1
18.551892974,0,0
18.551934072,0,1
18.551957296,1,1
18.551976642,1,0
18.552017734,1,1
18.552039166,0,1
18.552059324,0,0
18.552100416,0,1
18.552123642,1,1
18.552142990,1,0
18.552184088,1,1
18.552205520,0,1
18.552225684,0,0
18.552266780,0,1
18.552308368,0,0
18.552351924,0,1
18.552375148,1,1
18.552394498,1,0
18.552432638,1,1
18.552475214,1,0
18.552519752,1,1
18.552538622,1,0
18.558623824,1,1
18.607012906,0,1
18.607024702,0,0
18.607067272,0,1
18.607108862,0,0
18.607149956,0,1
18.607191550,0,0
18.607232648,0,1
18.607274236,0,0
18.607315334,0,1
18.607356922,0,0
18.607398016,0,1
18.607421242,1,1
18.607440590,1,0
18.607481684,1,1
18.607524256,1,0
18.607565352,1,1
18.607607928,1,0
