Time [s],Channel 0,Channel 1
0.000000000,1,1
27.440896762,0,1
27.440908550,0,0
27.440951106,0,1
27.440992678,0,0
27.441033760,0,1
27.441075334,0,0
27.441116412,0,1
27.441139624,1,1
27.441158966,1,0
27.441200038,1,1
27.441242596,1,0
27.441283672,1,1
27.441326232,1,0
27.441367312,1,1
27.441409874,1,0
27.441450950,1,1
27.441472376,0,1
27.441492530,0,0
27.441533610,0,1
27.441575188,0,0
27.441618726,0,1
27.441641936,1,1
27.441661276,1,0
27.441699398,1,1
27.441741954,1,0
27.441786470,1,1
27.441838092,1,0
27.449413356,1,1
27.451766676,0,1
27.451778468,0,0
27.451821024,0,1
27.451844238,1,1
27.451863578,1,0
27.451904654,1,1
27.451947218,1,0
27.451988294,1,1
27.452009720,0,1
27.452029876,0,0
27.452070958,0,1
27.452112536,0,0
27.452153620,0,1
27.452195200,0,0
27.452236282,0,1
27.452277852,0,0
27.452318934,0,1
27.452342150,1,1
27.452361492,1,0
27.452402570,1,1
27.452423996,0,1
27.452444154,0,0
27.452487702,0,1
27.452529286,0,0
27.452567426,0,1
27.452590652,1,1
27.452609998,1,0
27.452654526,1,1
27.452673590,1,0
27.457413894,1,1
27.484914084,0,1
27.484925876,0,0
27.484968436,0,1
27.485010014,0,0
27.485051100,0,1
27.485092682,0,0
27.485133766,0,1
27.485175344,0,0
27.485216434,0,1
27.485258014,0,0
27.485299102,0,1
27.485322324,1,1
27.485341668,1,0
27.485382758,1,1
27.485425324,1,0
27.485466404,1,1
27.485508970,1,0
27.485550050,1,1
27.485592616,1,0
27.485636160,1,1
27.485678722,1,0
27.485716850,1,1
27.485759414,1,0
27.485803936,1,1
27.489430622,0,1
27.489442412,0,0
27.489484972,0,1
27.489508192,1,1
27.489527536,1,0
27.489568618,1,1
27.489611182,1,0
27.489652260,1,1
27.489673690,0,1
27.489693846,0,0
27.489734928,0,1
27.489776510,0,0
27.489817596,0,1
27.489859176,0,0
27.489900262,0,1
27.489941842,0,0
27.489982926,0,1
27.490006144,1,1
27.490025486,1,0
27.490066568,1,1
27.490087996,0,1
27.490108152,0,0
27.490151698,0,1
27.490193278,0,0
27.490231410,0,1
27.490254628,1,1
27.490273970,1,0
27.490318494,1,1
27.497096684,0,1
27.497108474,0,0
27.497151034,0,1
27.497192610,0,0
27.497233694,0,1
27.497275272,0,0
27.497316358,0,1
27.497357942,0,0
27.497399044,0,1
27.497440630,0,0
27.497481722,0,1
27.497504942,1,1
27.497524286,1,0
27.497565370,1,1
27.497607938,1,0
27.497649024,1,1
27.497691590,1,0
27.497732672,1,1
27.497775240,1,0
27.497818784,1,1
27.497861348,1,0
27.497899478,1,1
27.497942044,1,0
27.497986570,1,1
27.501611430,0,1
27.501623222,0,0
27.501665780,0,1
27.501707360,0,0
27.501748446,0,1
27.501790026,0,0
27.501831114,0,1
27.501854332,1,1
27.501873678,1,0
27.501914762,1,1
27.501957328,1,0
27.501998410,1,1
27.502040974,1,0
27.502082054,1,1
27.502124620,1,0
27.502165698,1,1
27.502187126,0,1
27.502207282,0,0
27.502248368,0,1
27.502289948,0,0
27.502333498,0,1
27.502356718,1,1
27.502376064,1,0
27.502414198,1,1
27.502456762,1,0
27.502501290,1,1
27.510689476,1,0
27.513414378,1,1
27.582252728,0,1
27.582264520,0,0
27.582307080,0,1
27.582348660,0,0
27.582389748,0,1
27.582431330,0,0
27.582472416,0,1
27.582495632,1,1
27.582514976,1,0
27.582556056,1,1
27.582598618,1,0
27.582639698,1,1
27.582682260,1,0
27.582723338,1,1
27.582765902,1,0
27.582806980,1,1
27.582828402,0,1
27.582848558,0,0
27.582889638,0,1
27.582931216,0,0
27.582974758,0,1
27.582997978,1,1
27.583017322,1,0
27.583055452,1,1
27.583098012,1,0
27.583142536,1,1
27.583160952,1,0
27.585413264,1,1
27.616680606,0,1
27.616692398,0,0
27.616734946,0,1
27.616758154,1,1
27.616777492,1,0
27.616818580,1,1
27.616861158,1,0
27.616902236,1,1
27.616923662,0,1
27.616943818,0,0
27.616984900,0,1
27.617026478,0,0
27.617067560,0,1
27.617109140,0,0
27.617150220,0,1
27.617191802,0,0
27.617232888,0,1
27.617256104,1,1
27.617275446,1,0
27.617316528,1,1
27.617337960,0,1
27.617358118,0,0
27.617401674,0,1
27.617443260,0,0
27.617481398,0,1
27.617504618,1,1
27.617523960,1,0
27.617568482,1,1
27.617586890,1,0
27.625413402,1,1
27.639486582,0,1
27.639498372,0,0
27.639540934,0,1
27.639582512,0,0
27.639623598,0,1
27.639665180,0,0
27.639706264,0,1
27.639747844,0,0
27.639788928,0,1
27.639830502,0,0
27.639871584,0,1
27.639894798,1,1
27.639914140,1,0
27.639955214,1,1
27.639997774,1,0
27.640038852,1,1
27.640081408,1,0
27.640122484,1,1
27.640165046,1,0
27.640208582,1,1
27.640251140,1,0
27.640289264,1,1
27.640331828,1,0
27.640376348,1,1
27.644002854,0,1
27.644014644,0,0
27.644057196,0,1
27.644080412,1,1
27.644099754,1,0
27.644140832,1,1
27.644183392,1,0
27.644224468,1,1
27.644245890,0,1
27.644266042,0,0
27.644307118,0,1
27.644348692,0,0
27.644389778,0,1
27.644431356,0,0
27.644472440,0,1
27.644514016,0,0
27.644555098,0,1
27.644578314,1,1
27.644597656,1,0
27.644638734,1,1
27.644660162,0,1
27.644680314,0,0
27.644723854,0,1
27.644765432,0,0
27.644803558,0,1
27.644826774,1,1
27.644846114,1,0
27.644890638,1,1
27.652918544,1,0
27.657412878,1,1
27.659907722,0,1
27.659919514,0,0
27.659962068,0,1
27.660003642,0,0
27.660044722,0,1
27.660086300,0,0
27.660127380,0,1
27.660168958,0,0
27.660210040,0,1
27.660251618,0,0
27.660292700,0,1
27.660315916,1,1
27.660335260,1,0
27.660376342,1,1
27.660418904,1,0
27.660459984,1,1
27.660502546,1,0
27.660543620,1,1
27.660586178,1,0
27.660629714,1,1
27.660672272,1,0
27.660710398,1,1
27.660752962,1,0
27.660797480,1,1
27.664423098,0,1
27.664434890,0,0
27.664477448,0,1
27.664519026,0,0
27.664560116,0,1
27.664601694,0,0
27.664642782,0,1
27.664666004,1,1
27.664685348,1,0
27.664726428,1,1
27.664768994,1,0
27.664810074,1,1
27.664852640,1,0
27.664893718,1,1
27.664936286,1,0
27.664977368,1,1
27.664998796,0,1
27.665018956,0,0
27.665060046,0,1
27.665101622,0,0
27.665145164,0,1
27.665168380,1,1
27.665187722,1,0
27.665225850,1,1
27.665268410,1,0
27.665312934,1,1
27.673526912,1,0
27.681414008,1,1
27.710311610,0,1
27.710323400,0,0
27.710365956,0,1
27.710407536,0,0
27.710448620,0,1
27.710490194,0,0
27.710531274,0,1
27.710554490,1,1
27.710573834,1,0
27.710614908,1,1
27.710657472,1,0
27.710698548,1,1
27.710741104,1,0
27.710782178,1,1
27.710824738,1,0
27.710865812,1,1
27.710887236,0,1
27.710907394,0,0
27.710948476,0,1
27.710990050,0,0
27.711033592,0,1
27.711056806,1,1
27.711076152,1,0
27.711114290,1,1
27.711156872,1,0
27.711201408,1,1
27.711219462,1,0
27.713413652,1,1
27.724012662,0,1
27.724024454,0,0
27.724067012,0,1
27.724090230,1,1
27.724109576,1,0
27.724150664,1,1
27.724193234,1,0
27.724234320,1,1
27.724255750,0,1
27.724275912,0,0
27.724317004,0,1
