Drill Listing
=============
Drill: .00984  Tool: 1  Feed: 0  Speed: 0
X 1974103  Y 1581203
X 1975303  Y 1592103
X 1975703  Y 1588603
X 1976203  Y 1581403
X 1976603  Y 1596503
X 1977003  Y 1593403
X 1977603  Y 1601603
X 1977603  Y 1585103
X 1978503  Y 1581403
X 1979203  Y 1598503
X 1979303  Y 1588303
X 1979503  Y 1601603
X 1979503  Y 1591553
X 1979503  Y 1594903
X 1980703  Y 1582503
X 1981753  Y 1588303
X 1982003  Y 1586203
X 1982113  Y 1600693
X 1985103  Y 1584503
X 1985953  Y 1595003
X 1987503  Y 1581003
X 1988173  Y 1592773
X 1988183  Y 1597233
X 1990403  Y 1590553
X 1990403  Y 1599453
X 1990403  Y 1595003
X 1990603  Y 1605403
X 1991003  Y 1583403
X 1992633  Y 1592773
X 1992633  Y 1597233
X 1994853  Y 1595003
X 1997403  Y 1582603
X 1998403  Y 1600703
X 2000703  Y 1582603
X 2002103  Y 1592903
X 2003103  Y 1600703
X 2003803  Y 1582603
X 2006203  Y 1586503
X 2006403  Y 1597203
X 2006403  Y 1584303
X 2006803  Y 1588503
X 2006803  Y 1593203
X 2008203  Y 1591603
X 2008603  Y 1594803
X 2008803  Y 1597003
X 2008903  Y 1589303
X 2010003  Y 1581603
X 2010303  Y 1585103
X 2011103  Y 1596703
X 2011903  Y 1589503
X 2013803  Y 1592903
X 2013903  Y 1586203
X 2014103  Y 1602503
X 2014203  Y 1581303
X 2015403  Y 1615803
X 2015354  Y 1617716
X 2014003  Y 1608003
X 2013403  Y 1612803
X 2012303  Y 1609603
X 2010603  Y 1611303
X 2008803  Y 1613003
X 2005512  Y 1617716
X 2004803  Y 1613103
X 2002703  Y 1613003
X 1999303  Y 1612403
X 1998303  Y 1606803
X 1997803  Y 1609803
X 1997103  Y 1613103
X 1996063  Y 1617716
X 1995603  Y 1610703
X 1994503  Y 1613003
X 1993203  Y 1609003
X 1993103  Y 1611203
X 1990903  Y 1609103
X 1990703  Y 1611903
X 1988303  Y 1612203
X 1986614  Y 1617716
X 1986403  Y 1613103
X 1983464  Y 1617716
X 1982903  Y 1609103
X 1982703  Y 1606803
X 1981203  Y 1610103
X 1979703  Y 1607003
X 1979303  Y 1612703
X 1978203  Y 1610903
X 1976603  Y 1606303
X 1974603  Y 1606303
X 1973603  Y 1615803
X 1973603  Y 1617703

Drill: .012  Tool: 2  Feed: 0  Speed: 0
X 1984871  Y 1626514
X 1993142  Y 1626534
X 2001374  Y 1626515
X 2009622  Y 1626515
X 2017870  Y 1622459
X 2017870  Y 1637932
X 2009622  Y 1637932
X 2001374  Y 1637932
X 1993126  Y 1637932
X 1984871  Y 1637932

End of Listing
